 ID,Date,Flow(m³/s),SYM
04LG004,1983-01-01,320,B
04LG004,1983-01-02,280,B
04LG004,1983-01-03,250,B
04LG004,1983-01-04,290,B
04LG004,1983-01-05,287,B
04LG004,1983-01-06,287,B
04LG004,1983-01-07,276,B
04LG004,1983-01-08,260,B
04LG004,1983-01-09,312,B
04LG004,1983-01-10,280,B
04LG004,1983-01-11,270,B
04LG004,1983-01-12,270,B
04LG004,1983-01-13,270,B
04LG004,1983-01-14,268,B
04LG004,1983-01-15,271,B
04LG004,1983-01-16,260,B
04LG004,1983-01-17,263,B
04LG004,1983-01-18,260,B
04LG004,1983-01-19,263,B
04LG004,1983-01-20,212,B
04LG004,1983-01-21,220,B
04LG004,1983-01-22,230,B
04LG004,1983-01-23,212,B
04LG004,1983-01-24,218,B
04LG004,1983-01-25,210,B
04LG004,1983-01-26,202,B
04LG004,1983-01-27,225,B
04LG004,1983-01-28,209,B
04LG004,1983-01-29,240,B
04LG004,1983-01-30,250,B
04LG004,1983-01-31,175,B
04LG004,1983-02-01,227,B
04LG004,1983-02-02,210,B
04LG004,1983-02-03,202,B
04LG004,1983-02-04,235,B
04LG004,1983-02-05,250,B
04LG004,1983-02-06,249,B
04LG004,1983-02-07,248,B
04LG004,1983-02-08,215,B
04LG004,1983-02-09,192,B
04LG004,1983-02-10,199,B
04LG004,1983-02-11,202,B
04LG004,1983-02-12,200,B
04LG004,1983-02-13,198,B
04LG004,1983-02-14,190,B
04LG004,1983-02-15,195,B
04LG004,1983-02-16,209,B
04LG004,1983-02-17,188,B
04LG004,1983-02-18,218,B
04LG004,1983-02-19,202,B
04LG004,1983-02-20,198,B
04LG004,1983-02-21,194,B
04LG004,1983-02-22,183,B
04LG004,1983-02-23,188,B
04LG004,1983-02-24,198,B
04LG004,1983-02-25,203,B
04LG004,1983-02-26,200,B
04LG004,1983-02-27,201,B
04LG004,1983-02-28,202,B
04LG004,1983-03-01,193,B
04LG004,1983-03-02,201,B
04LG004,1983-03-03,213,B
04LG004,1983-03-04,250,B
04LG004,1983-03-05,257,B
04LG004,1983-03-06,248,B
04LG004,1983-03-07,253,B
04LG004,1983-03-08,261,B
04LG004,1983-03-09,260,B
04LG004,1983-03-10,270,B
04LG004,1983-03-11,252,B
04LG004,1983-03-12,280,B
04LG004,1983-03-13,270,B
04LG004,1983-03-14,260,B
04LG004,1983-03-15,215,B
04LG004,1983-03-16,280,B
04LG004,1983-03-17,295,B
04LG004,1983-03-18,310,B
04LG004,1983-03-19,340,B
04LG004,1983-03-20,340,B
04LG004,1983-03-21,338,B
04LG004,1983-03-22,330,B
04LG004,1983-03-23,320,B
04LG004,1983-03-24,330,B
04LG004,1983-03-25,310,B
04LG004,1983-03-26,310,B
04LG004,1983-03-27,320,B
04LG004,1983-03-28,330,B
04LG004,1983-03-29,330,B
04LG004,1983-03-30,328,B
04LG004,1983-03-31,315,B
04LG004,1983-04-01,285,B
04LG004,1983-04-02,300,B
04LG004,1983-04-03,310,B
04LG004,1983-04-04,310,B
04LG004,1983-04-05,309,B
04LG004,1983-04-06,305,B
04LG004,1983-04-07,300,B
04LG004,1983-04-08,300,B
04LG004,1983-04-09,300,B
04LG004,1983-04-10,365,B
04LG004,1983-04-11,505,B
04LG004,1983-04-12,430,B
04LG004,1983-04-13,265,B
04LG004,1983-04-14,265,B
04LG004,1983-04-15,268,B
04LG004,1983-04-16,330,B
04LG004,1983-04-17,390,B
04LG004,1983-04-18,450,B
04LG004,1983-04-19,510,B
04LG004,1983-04-20,570,B
04LG004,1983-04-21,680,B
04LG004,1983-04-22,630,B
04LG004,1983-04-23,650,B
04LG004,1983-04-24,690,B
04LG004,1983-04-25,700,B
04LG004,1983-04-26,655,B
04LG004,1983-04-27,740,B
04LG004,1983-04-28,870,B
04LG004,1983-04-29,1200,B
04LG004,1983-04-30,1900,B
04LG004,1983-05-01,3500,B
04LG004,1983-05-02,5800,B
04LG004,1983-05-03,6650,E
04LG004,1983-05-04,6600,E
04LG004,1983-05-05,6250,E
04LG004,1983-05-06,5950,E
04LG004,1983-05-07,5500,E
04LG004,1983-05-08,5100,E
04LG004,1983-05-09,4650,E
04LG004,1983-05-10,4300,E
04LG004,1983-05-11,4000,E
04LG004,1983-05-12,3800,E
04LG004,1983-05-13,4100,E
04LG004,1983-05-14,4400,E
04LG004,1983-05-15,4700,E
04LG004,1983-05-16,4950,E
04LG004,1983-05-17,4400,E
04LG004,1983-05-18,4050,E
04LG004,1983-05-19,3730,
04LG004,1983-05-20,3430,
04LG004,1983-05-21,3260,
04LG004,1983-05-22,3280,
04LG004,1983-05-23,3280,
04LG004,1983-05-24,3850,E
04LG004,1983-05-25,4600,E
04LG004,1983-05-26,5100,E
04LG004,1983-05-27,5250,E
04LG004,1983-05-28,5000,E
04LG004,1983-05-29,4750,E
04LG004,1983-05-30,4600,E
04LG004,1983-05-31,4200,E
04LG004,1983-06-01,4300,E
04LG004,1983-06-02,4250,E
04LG004,1983-06-03,4200,E
04LG004,1983-06-04,4000,E
04LG004,1983-06-05,3650,E
04LG004,1983-06-06,3400,E
04LG004,1983-06-07,3150,E
04LG004,1983-06-08,2950,E
04LG004,1983-06-09,2750,E
04LG004,1983-06-10,2550,E
04LG004,1983-06-11,2450,E
04LG004,1983-06-12,2350,E
04LG004,1983-06-13,2250,E
04LG004,1983-06-14,2200,E
04LG004,1983-06-15,2050,E
04LG004,1983-06-16,1800,E
04LG004,1983-06-17,1570,E
04LG004,1983-06-18,1580,E
04LG004,1983-06-19,1440,E
04LG004,1983-06-20,1330,E
04LG004,1983-06-21,1230,E
04LG004,1983-06-22,1000,E
04LG004,1983-06-23,940,E
04LG004,1983-06-24,880,E
04LG004,1983-06-25,850,E
04LG004,1983-06-26,830,E
04LG004,1983-06-27,810,E
04LG004,1983-06-28,790,E
04LG004,1983-06-29,680,E
04LG004,1983-06-30,700,E
04LG004,1983-07-01,675,E
04LG004,1983-07-02,670,E
04LG004,1983-07-03,710,E
04LG004,1983-07-04,725,E
04LG004,1983-07-05,720,E
04LG004,1983-07-06,715,E
04LG004,1983-07-07,710,E
04LG004,1983-07-08,545,E
04LG004,1983-07-09,545,E
04LG004,1983-07-10,460,E
04LG004,1983-07-11,370,E
04LG004,1983-07-12,520,E
04LG004,1983-07-13,595,E
04LG004,1983-07-14,600,E
04LG004,1983-07-15,530,E
04LG004,1983-07-16,510,E
04LG004,1983-07-17,465,E
04LG004,1983-07-18,445,E
04LG004,1983-07-19,420,E
04LG004,1983-07-20,400,E
04LG004,1983-07-21,410,E
04LG004,1983-07-22,360,E
04LG004,1983-07-23,340,E
04LG004,1983-07-24,320,E
04LG004,1983-07-25,325,E
04LG004,1983-07-26,315,E
04LG004,1983-07-27,315,E
04LG004,1983-07-28,305,E
04LG004,1983-07-29,310,E
04LG004,1983-07-30,305,E
04LG004,1983-07-31,270,E
04LG004,1983-08-01,205,E
04LG004,1983-08-02,218,E
04LG004,1983-08-03,190,E
04LG004,1983-08-04,232,E
04LG004,1983-08-05,230,E
04LG004,1983-08-06,235,E
04LG004,1983-08-07,202,
04LG004,1983-08-08,219,
04LG004,1983-08-09,229,
04LG004,1983-08-10,215,
04LG004,1983-08-11,241,
04LG004,1983-08-12,225,
04LG004,1983-08-13,262,
04LG004,1983-08-14,228,
04LG004,1983-08-15,181,
04LG004,1983-08-16,193,
04LG004,1983-08-17,197,
04LG004,1983-08-18,175,
04LG004,1983-08-19,172,
04LG004,1983-08-20,175,
04LG004,1983-08-21,153,
04LG004,1983-08-22,145,
04LG004,1983-08-23,185,
04LG004,1983-08-24,155,
04LG004,1983-08-25,158,
04LG004,1983-08-26,169,
04LG004,1983-08-27,161,
04LG004,1983-08-28,168,
04LG004,1983-08-29,159,
04LG004,1983-08-30,164,
04LG004,1983-08-31,150,
04LG004,1983-09-01,159,
04LG004,1983-09-02,147,
04LG004,1983-09-03,134,
04LG004,1983-09-04,169,
04LG004,1983-09-05,145,
04LG004,1983-09-06,124,
04LG004,1983-09-07,170,
04LG004,1983-09-08,231,
04LG004,1983-09-09,396,
