 ID,Date,Flow(m³/s),SYM
07FB004,1978-01-01,0.027000001,B
07FB004,1978-01-02,0.026000001,B
07FB004,1978-01-03,0.026000001,B
07FB004,1978-01-04,0.025,B
07FB004,1978-01-05,0.025,B
07FB004,1978-01-06,0.024,B
07FB004,1978-01-07,0.024,B
07FB004,1978-01-08,0.024,B
07FB004,1978-01-09,0.023,B
07FB004,1978-01-10,0.023,B
07FB004,1978-01-11,0.023,B
07FB004,1978-01-12,0.023,B
07FB004,1978-01-13,0.022,B
07FB004,1978-01-14,0.022,B
07FB004,1978-01-15,0.022,B
07FB004,1978-01-16,0.022,B
07FB004,1978-01-17,0.022,B
07FB004,1978-01-18,0.022,B
07FB004,1978-01-19,0.022,B
07FB004,1978-01-20,0.022,B
07FB004,1978-01-21,0.022,B
07FB004,1978-01-22,0.022,B
07FB004,1978-01-23,0.022,B
07FB004,1978-01-24,0.022,B
07FB004,1978-01-25,0.022,B
07FB004,1978-01-26,0.022,B
07FB004,1978-01-27,0.022,B
07FB004,1978-01-28,0.023,B
07FB004,1978-01-29,0.023,B
07FB004,1978-01-30,0.023,B
07FB004,1978-01-31,0.023,B
07FB004,1978-02-01,0.022,B
07FB004,1978-02-02,0.022,B
07FB004,1978-02-03,0.022,B
07FB004,1978-02-04,0.022,B
07FB004,1978-02-05,0.022,B
07FB004,1978-02-06,0.022,B
07FB004,1978-02-07,0.022,B
07FB004,1978-02-08,0.022,B
07FB004,1978-02-09,0.022,B
07FB004,1978-02-10,0.021,B
07FB004,1978-02-11,0.021,B
07FB004,1978-02-12,0.021,B
07FB004,1978-02-13,0.021,B
07FB004,1978-02-14,0.021,B
07FB004,1978-02-15,0.021,B
07FB004,1978-02-16,0.021,B
07FB004,1978-02-17,0.022,B
07FB004,1978-02-18,0.022,B
07FB004,1978-02-19,0.022,B
07FB004,1978-02-20,0.022,B
07FB004,1978-02-21,0.022,B
07FB004,1978-02-22,0.023,B
07FB004,1978-02-23,0.023,B
07FB004,1978-02-24,0.023,B
07FB004,1978-02-25,0.023,B
07FB004,1978-02-26,0.023,B
07FB004,1978-02-27,0.023,B
07FB004,1978-02-28,0.023,B
07FB004,1978-03-01,0.023,B
07FB004,1978-03-02,0.023,B
07FB004,1978-03-03,0.023,B
07FB004,1978-03-04,0.023,B
07FB004,1978-03-05,0.023,B
07FB004,1978-03-06,0.023,B
07FB004,1978-03-07,0.023,B
07FB004,1978-03-08,0.023,B
07FB004,1978-03-09,0.023,B
07FB004,1978-03-10,0.023,B
07FB004,1978-03-11,0.023,B
07FB004,1978-03-12,0.023,B
07FB004,1978-03-13,0.024,B
07FB004,1978-03-14,0.024,B
07FB004,1978-03-15,0.025,B
07FB004,1978-03-16,0.025,B
07FB004,1978-03-17,0.026000001,B
07FB004,1978-03-18,0.027000001,B
07FB004,1978-03-19,0.027000001,B
07FB004,1978-03-20,0.027000001,B
07FB004,1978-03-21,0.028000001,B
07FB004,1978-03-22,0.028000001,B
07FB004,1978-03-23,0.028000001,B
07FB004,1978-03-24,0.028000001,B
07FB004,1978-03-25,0.028000001,B
07FB004,1978-03-26,0.028000001,B
07FB004,1978-03-27,0.027000001,B
07FB004,1978-03-28,0.026000001,B
07FB004,1978-03-29,0.026000001,B
07FB004,1978-03-30,0.027000001,B
07FB004,1978-03-31,0.028000001,B
07FB004,1978-04-01,0.028000001,B
07FB004,1978-04-02,0.028000001,B
07FB004,1978-04-03,0.030999999,B
07FB004,1978-04-04,0.030999999,B
07FB004,1978-04-05,0.030999999,B
07FB004,1978-04-06,0.030999999,B
07FB004,1978-04-07,0.034000002,B
07FB004,1978-04-08,0.034000002,B
07FB004,1978-04-09,0.034000002,B
07FB004,1978-04-10,0.034000002,B
07FB004,1978-04-11,0.034000002,B
07FB004,1978-04-12,0.034000002,B
07FB004,1978-04-13,0.034000002,B
07FB004,1978-04-14,0.037,B
07FB004,1978-04-15,0.037,B
07FB004,1978-04-16,0.039999999,B
07FB004,1978-04-17,0.039999999,B
07FB004,1978-04-18,0.041999999,B
07FB004,1978-04-19,0.045000002,B
07FB004,1978-04-20,0.048,B
07FB004,1978-04-21,0.054000001,B
07FB004,1978-04-22,0.059,B
07FB004,1978-04-23,0.074000001,B
07FB004,1978-04-24,0.11,B
07FB004,1978-04-25,0.15899999,B
07FB004,1978-04-26,0.255,B
07FB004,1978-04-27,0.34,B
07FB004,1978-04-28,0.396,E
07FB004,1978-04-29,0.45300001,E
07FB004,1978-04-30,0.52399999,E
07FB004,1978-05-01,0.59500003,E
07FB004,1978-05-02,0.69400001,E
07FB004,1978-05-03,0.80699998,E
07FB004,1978-05-04,0.93400002,E
