 ID,Date,Flow(m³/s),SYM
09CD001,1956-09-01,1410,E
09CD001,1956-09-02,1390,E
09CD001,1956-09-03,1380,E
09CD001,1956-09-04,1370,E
09CD001,1956-09-05,1360,E
09CD001,1956-09-06,1350,E
09CD001,1956-09-07,1340,E
09CD001,1956-09-08,1330,E
09CD001,1956-09-09,1330,E
09CD001,1956-09-10,1310,E
09CD001,1956-09-11,1300,E
09CD001,1956-09-12,1250,E
09CD001,1956-09-13,1250,E
09CD001,1956-09-14,1240,E
09CD001,1956-09-15,1240,
09CD001,1956-09-16,1220,
09CD001,1956-09-17,1220,
09CD001,1956-09-18,1220,
09CD001,1956-09-19,1220,
09CD001,1956-09-20,1200,
09CD001,1956-09-21,1220,
09CD001,1956-09-22,1200,
09CD001,1956-09-23,1220,
09CD001,1956-09-24,1220,
09CD001,1956-09-25,1240,
09CD001,1956-09-26,1240,
09CD001,1956-09-27,1220,
09CD001,1956-09-28,1200,
09CD001,1956-09-29,1200,
09CD001,1956-09-30,1190,
09CD001,1956-10-01,1180,
09CD001,1956-10-02,1180,
09CD001,1956-10-03,1170,
09CD001,1956-10-04,1170,
09CD001,1956-10-05,1160,
09CD001,1956-10-06,1150,
09CD001,1956-10-07,1140,
09CD001,1956-10-08,1100,
09CD001,1956-10-09,1120,
09CD001,1956-10-10,1110,
09CD001,1956-10-11,1120,
09CD001,1956-10-12,1120,
09CD001,1956-10-13,1110,
09CD001,1956-10-14,1100,
09CD001,1956-10-15,1100,
09CD001,1956-10-16,1100,
09CD001,1956-10-17,1020,
09CD001,1956-10-18,1020,
09CD001,1956-10-19,1020,
09CD001,1956-10-20,1020,
09CD001,1956-10-21,1020,
09CD001,1956-10-22,1020,
09CD001,1956-10-23,1020,
09CD001,1956-10-24,991,B
09CD001,1956-10-25,963,B
09CD001,1956-10-26,946,B
09CD001,1956-10-27,926,B
09CD001,1956-10-28,906,B
09CD001,1956-10-29,886,B
09CD001,1956-10-30,852,B
09CD001,1956-10-31,821,B
09CD001,1956-11-01,793,B
09CD001,1956-11-02,762,B
09CD001,1956-11-03,731,B
09CD001,1956-11-04,711,B
09CD001,1956-11-05,682,B
09CD001,1956-11-06,657,B
09CD001,1956-11-07,634,B
09CD001,1956-11-08,612,B
09CD001,1956-11-09,589,B
09CD001,1956-11-10,569,B
09CD001,1956-11-11,552,B
09CD001,1956-11-12,538,B
09CD001,1956-11-13,524,B
09CD001,1956-11-14,510,B
09CD001,1956-11-15,498,B
09CD001,1956-11-16,481,B
09CD001,1956-11-17,470,B
09CD001,1956-11-18,462,B
09CD001,1956-11-19,447,B
09CD001,1956-11-20,436,B
09CD001,1956-11-21,428,B
09CD001,1956-11-22,416,B
09CD001,1956-11-23,408,B
09CD001,1956-11-24,402,B
09CD001,1956-11-25,394,B
09CD001,1956-11-26,385,B
09CD001,1956-11-27,379,B
09CD001,1956-11-28,374,B
09CD001,1956-11-29,368,B
09CD001,1956-11-30,362,B
09CD001,1956-12-01,357,B
09CD001,1956-12-02,354,B
09CD001,1956-12-03,348,B
09CD001,1956-12-04,345,B
09CD001,1956-12-05,343,B
09CD001,1956-12-06,340,B
09CD001,1956-12-07,334,B
09CD001,1956-12-08,331,B
09CD001,1956-12-09,328,B
09CD001,1956-12-10,326,B
09CD001,1956-12-11,323,B
09CD001,1956-12-12,320,B
09CD001,1956-12-13,317,B
09CD001,1956-12-14,317,B
09CD001,1956-12-15,314,B
09CD001,1956-12-16,311,B
09CD001,1956-12-17,311,B
09CD001,1956-12-18,311,B
09CD001,1956-12-19,309,B
09CD001,1956-12-20,309,B
09CD001,1956-12-21,306,B
09CD001,1956-12-22,306,B
09CD001,1956-12-23,303,B
09CD001,1956-12-24,303,B
09CD001,1956-12-25,303,B
09CD001,1956-12-26,303,B
09CD001,1956-12-27,300,B
09CD001,1956-12-28,300,B
09CD001,1956-12-29,300,B
09CD001,1956-12-30,300,B
09CD001,1956-12-31,297,B
09CD001,1957-01-01,297,B
09CD001,1957-01-02,297,B
09CD001,1957-01-03,294,B
09CD001,1957-01-04,294,B
09CD001,1957-01-05,294,B
09CD001,1957-01-06,292,B
09CD001,1957-01-07,292,B
09CD001,1957-01-08,292,B
09CD001,1957-01-09,289,B
09CD001,1957-01-10,289,B
09CD001,1957-01-11,286,B
09CD001,1957-01-12,286,B
09CD001,1957-01-13,283,B
09CD001,1957-01-14,283,B
09CD001,1957-01-15,283,B
09CD001,1957-01-16,283,B
