 ID,Date,Level(m),SYM
02DD020,2010-08-25,192.80499,A
02DD020,2010-08-26,192.795,
02DD020,2010-08-27,192.789,
02DD020,2010-08-28,192.786,
02DD020,2010-08-29,192.782,
02DD020,2010-08-30,192.78101,
02DD020,2010-08-31,192.78,
02DD020,2010-09-01,192.77901,
02DD020,2010-09-02,192.77699,
02DD020,2010-09-03,192.789,
02DD020,2010-09-04,192.78799,
02DD020,2010-09-05,192.78,
02DD020,2010-09-06,192.77299,
02DD020,2010-09-07,192.782,
02DD020,2010-09-08,192.787,
02DD020,2010-09-09,192.778,
02DD020,2010-09-10,192.772,
02DD020,2010-09-11,192.76801,
02DD020,2010-09-12,192.76801,
02DD020,2010-09-13,192.765,
02DD020,2010-09-14,192.763,
02DD020,2010-09-15,192.761,
02DD020,2010-09-16,192.77,
02DD020,2010-09-17,192.778,
02DD020,2010-09-18,192.78,
02DD020,2010-09-19,192.782,
02DD020,2010-09-20,192.774,
02DD020,2010-09-21,192.77699,
02DD020,2010-09-22,192.77699,
02DD020,2010-09-23,192.784,
02DD020,2010-09-24,192.864,
02DD020,2010-09-25,192.869,
02DD020,2010-09-26,192.85899,
02DD020,2010-09-27,192.854,
02DD020,2010-09-28,192.864,
02DD020,2010-09-29,192.897,
02DD020,2010-09-30,192.90199,
02DD020,2010-10-01,192.903,
02DD020,2010-10-02,192.89999,
02DD020,2010-10-03,192.897,
02DD020,2010-10-04,192.896,
02DD020,2010-10-05,192.897,
02DD020,2010-10-06,192.899,
02DD020,2010-10-07,192.901,
02DD020,2010-10-08,192.899,
02DD020,2010-10-09,192.89999,
02DD020,2010-10-10,192.89999,
02DD020,2010-10-11,192.89999,
02DD020,2010-10-12,192.901,
02DD020,2010-10-13,192.901,
02DD020,2010-10-14,192.90401,
02DD020,2010-10-15,192.903,
02DD020,2010-10-16,192.90401,
02DD020,2010-10-17,192.903,
02DD020,2010-10-18,192.90199,
02DD020,2010-10-19,192.901,
02DD020,2010-10-20,192.90401,
02DD020,2010-10-21,192.909,
02DD020,2010-10-22,192.90601,
02DD020,2010-10-23,192.905,
02DD020,2010-10-24,192.914,
02DD020,2010-10-25,192.93201,
02DD020,2010-10-26,192.942,
02DD020,2010-10-27,192.965,
02DD020,2010-10-28,192.96201,
02DD020,2010-10-29,192.96001,
02DD020,2010-10-30,192.964,
02DD020,2010-10-31,192.97301,
02DD020,2010-11-01,192.97301,
02DD020,2010-11-02,193.23,
02DD020,2010-11-03,193.87,
02DD020,2010-11-04,194.033,
02DD020,2010-11-05,194.078,
02DD020,2010-11-06,194.08099,
02DD020,2010-11-07,194.08299,
02DD020,2010-11-08,194.09,
02DD020,2010-11-09,194.095,
02DD020,2010-11-10,194.10001,
02DD020,2010-11-11,194.101,
02DD020,2010-11-12,194.103,
02DD020,2010-11-13,194.10699,
02DD020,2010-11-14,194.11,
02DD020,2010-11-15,194.11501,
02DD020,2010-11-16,194.12,
02DD020,2010-11-17,194.164,
02DD020,2010-11-18,194.175,
02DD020,2010-11-19,194.174,
02DD020,2010-11-20,194.173,
02DD020,2010-11-21,194.16701,
02DD020,2010-11-22,194.168,
02DD020,2010-11-23,194.179,
02DD020,2010-11-24,194.181,
02DD020,2010-11-25,194.175,
02DD020,2010-11-26,194.181,
02DD020,2010-11-27,194.18401,
02DD020,2010-11-28,194.181,
02DD020,2010-11-29,194.17999,
02DD020,2010-11-30,194.18201,
02DD020,2010-12-01,194.194,
02DD020,2010-12-02,194.198,
02DD020,2010-12-03,194.202,
02DD020,2010-12-04,194.203,
02DD020,2010-12-05,194.196,
02DD020,2010-12-06,194.187,
02DD020,2010-12-07,194.17101,
02DD020,2010-12-08,194.159,
02DD020,2010-12-09,194.145,
02DD020,2010-12-10,194.133,
02DD020,2010-12-11,194.116,
02DD020,2010-12-12,194.10899,
02DD020,2010-12-13,194.106,
02DD020,2010-12-14,194.084,
02DD020,2010-12-15,194.07001,
02DD020,2010-12-16,194.056,
02DD020,2010-12-17,194.043,
02DD020,2010-12-18,194.033,
02DD020,2010-12-19,194.01801,
02DD020,2010-12-20,194,
02DD020,2010-12-21,193.98199,
02DD020,2010-12-22,193.964,
02DD020,2010-12-23,193.94299,
02DD020,2010-12-24,193.92599,
02DD020,2010-12-25,193.911,
02DD020,2010-12-26,193.895,
02DD020,2010-12-27,193.875,
02DD020,2010-12-28,193.856,
02DD020,2010-12-29,193.839,
02DD020,2010-12-30,193.82201,
02DD020,2010-12-31,193.80901,
02DD020,2011-01-01,193.80901,
02DD020,2011-01-02,193.804,
02DD020,2011-01-03,193.793,
02DD020,2011-01-04,193.78799,
02DD020,2011-01-05,193.776,
02DD020,2011-01-06,193.767,
02DD020,2011-01-07,193.761,
02DD020,2011-01-08,193.75101,
02DD020,2011-01-09,193.737,
02DD020,2011-01-10,193.726,
02DD020,2011-01-11,193.717,
02DD020,2011-01-12,193.71001,
02DD020,2011-01-13,193.69701,
02DD020,2011-01-14,193.687,
02DD020,2011-01-15,193.683,
02DD020,2011-01-16,193.674,
02DD020,2011-01-17,193.66499,
02DD020,2011-01-18,193.66299,
02DD020,2011-01-19,193.653,
02DD020,2011-01-20,193.64101,
02DD020,2011-01-21,193.634,
02DD020,2011-01-22,193.62199,
02DD020,2011-01-23,193.612,
02DD020,2011-01-24,193.60201,
02DD020,2011-01-25,193.595,
02DD020,2011-01-26,193.582,
02DD020,2011-01-27,193.571,
02DD020,2011-01-28,193.564,
02DD020,2011-01-29,193.554,
02DD020,2011-01-30,193.54201,
02DD020,2011-01-31,193.532,
02DD020,2011-02-01,193.522,
02DD020,2011-02-02,193.513,
02DD020,2011-02-03,193.502,
02DD020,2011-02-04,193.49001,
02DD020,2011-02-05,193.48199,
02DD020,2011-02-06,193.47301,
02DD020,2011-02-07,193.466,
02DD020,2011-02-08,193.455,
02DD020,2011-02-09,193.444,
02DD020,2011-02-10,193.43401,
02DD020,2011-02-11,193.42599,
02DD020,2011-02-12,193.42101,
02DD020,2011-02-13,193.41299,
02DD020,2011-02-14,193.411,
02DD020,2011-02-15,193.401,
02DD020,2011-02-16,193.394,
02DD020,2011-02-17,193.39,
02DD020,2011-02-18,193.396,
02DD020,2011-02-19,193.382,
02DD020,2011-02-20,193.375,
02DD020,2011-02-21,193.373,
02DD020,2011-02-22,193.366,
02DD020,2011-02-23,193.36,
02DD020,2011-02-24,193.354,
02DD020,2011-02-25,193.34599,
02DD020,2011-02-26,193.339,
02DD020,2011-02-27,193.33501,
02DD020,2011-02-28,193.327,
02DD020,2011-03-01,193.319,
02DD020,2011-03-02,193.312,
02DD020,2011-03-03,193.30701,
02DD020,2011-03-04,193.308,
02DD020,2011-03-05,193.32401,
02DD020,2011-03-06,193.328,
02DD020,2011-03-07,193.328,
02DD020,2011-03-08,193.33,
02DD020,2011-03-09,193.336,
02DD020,2011-03-10,193.351,
02DD020,2011-03-11,193.37399,
02DD020,2011-03-12,193.382,
02DD020,2011-03-13,193.38499,
02DD020,2011-03-14,193.39,
02DD020,2011-03-15,193.396,
02DD020,2011-03-16,193.401,
02DD020,2011-03-17,193.408,
02DD020,2011-03-18,193.436,
02DD020,2011-03-19,193.451,
02DD020,2011-03-20,193.463,
02DD020,2011-03-21,193.48199,
02DD020,2011-03-22,193.492,
02DD020,2011-03-23,193.50101,
02DD020,2011-03-24,193.505,
02DD020,2011-03-25,193.507,
02DD020,2011-03-26,193.507,
02DD020,2011-03-27,193.509,
02DD020,2011-03-28,193.506,
02DD020,2011-03-29,193.505,
02DD020,2011-03-30,193.506,
02DD020,2011-03-31,193.509,
02DD020,2011-04-01,193.50999,
02DD020,2011-04-02,193.51199,
02DD020,2011-04-03,193.51601,
02DD020,2011-04-04,193.535,
02DD020,2011-04-05,193.548,
02DD020,2011-04-06,193.55701,
02DD020,2011-04-07,193.57201,
02DD020,2011-04-08,193.588,
02DD020,2011-04-09,193.608,
02DD020,2011-04-10,193.63699,
02DD020,2011-04-11,193.774,
02DD020,2011-04-12,193.838,
02DD020,2011-04-13,193.86099,
02DD020,2011-04-14,193.88499,
02DD020,2011-04-15,193.765,
02DD020,2011-04-16,193.289,
02DD020,2011-04-17,193.09801,
02DD020,2011-04-18,193.01801,
02DD020,2011-04-19,192.989,
02DD020,2011-04-20,193.008,
02DD020,2011-04-21,193.01801,
02DD020,2011-04-22,193.024,
02DD020,2011-04-23,193.064,
02DD020,2011-04-24,193.092,
02DD020,2011-04-25,193.103,
02DD020,2011-04-26,193.12,
02DD020,2011-04-27,193.192,
02DD020,2011-04-28,193.347,
02DD020,2011-04-29,193.411,
02DD020,2011-04-30,193.388,
02DD020,2011-05-01,193.37601,
02DD020,2011-05-02,193.375,
02DD020,2011-05-03,193.38,
02DD020,2011-05-04,193.38499,
02DD020,2011-05-05,193.388,
02DD020,2011-05-06,193.39101,
02DD020,2011-05-07,193.39301,
02DD020,2011-05-08,193.392,
02DD020,2011-05-09,193.388,
02DD020,2011-05-10,193.384,
02DD020,2011-05-11,193.37601,
02DD020,2011-05-12,193.367,
02DD020,2011-05-13,193.35699,
02DD020,2011-05-14,193.34801,
02DD020,2011-05-15,193.338,
02DD020,2011-05-16,193.323,
02DD020,2011-05-17,193.30299,
02DD020,2011-05-18,193.291,
02DD020,2011-05-19,193.284,
02DD020,2011-05-20,193.274,
02DD020,2011-05-21,193.263,
02DD020,2011-05-22,193.256,
02DD020,2011-05-23,193.24899,
02DD020,2011-05-24,193.23801,
02DD020,2011-05-25,193.228,
02DD020,2011-05-26,193.237,
02DD020,2011-05-27,193.231,
02DD020,2011-05-28,193.22501,
02DD020,2011-05-29,193.22099,
02DD020,2011-05-30,193.215,
02DD020,2011-05-31,193.217,
02DD020,2011-06-01,193.22,
02DD020,2011-06-02,193.211,
02DD020,2011-06-03,193.209,
02DD020,2011-06-04,193.226,
02DD020,2011-06-05,193.22501,
02DD020,2011-06-06,193.224,
02DD020,2011-06-07,193.22501,
02DD020,2011-06-08,193.22701,
02DD020,2011-06-09,193.226,
02DD020,2011-06-10,193.22501,
02DD020,2011-06-11,193.22501,
02DD020,2011-06-12,193.228,
02DD020,2011-06-13,193.224,
02DD020,2011-06-14,193.222,
02DD020,2011-06-15,193.22301,
02DD020,2011-06-16,193.222,
02DD020,2011-06-17,193.224,
02DD020,2011-06-18,193.22501,
02DD020,2011-06-19,193.22301,
02DD020,2011-06-20,193.22301,
02DD020,2011-06-21,193.224,
02DD020,2011-06-22,193.23199,
02DD020,2011-06-23,193.25999,
02DD020,2011-06-24,193.263,
02DD020,2011-06-25,193.27699,
02DD020,2011-06-26,193.28,
02DD020,2011-06-27,193.278,
02DD020,2011-06-28,193.28,
02DD020,2011-06-29,193.276,
02DD020,2011-06-30,193.271,
02DD020,2011-07-01,193.267,
02DD020,2011-07-02,193.261,
02DD020,2011-07-03,193.255,
02DD020,2011-07-04,193.24899,
02DD020,2011-07-05,193.241,
02DD020,2011-07-06,193.24001,
02DD020,2011-07-07,193.24001,
02DD020,2011-07-08,193.235,
02DD020,2011-07-09,193.23599,
02DD020,2011-07-10,193.237,
02DD020,2011-07-11,193.25101,
02DD020,2011-07-12,193.26601,
02DD020,2011-07-13,193.259,
02DD020,2011-07-14,193.25301,
02DD020,2011-07-15,193.24899,
02DD020,2011-07-16,193.245,
02DD020,2011-07-17,193.239,
02DD020,2011-07-18,193.233,
02DD020,2011-07-19,193.23399,
02DD020,2011-07-20,193.23,
02DD020,2011-07-21,193.22501,
02DD020,2011-07-22,193.218,
02DD020,2011-07-23,193.214,
02DD020,2011-07-24,193.214,
02DD020,2011-07-25,193.214,
