 ID,Date,Level(m),SYM
03NE002,2011-05-17,1.534,A
03NE002,2011-05-18,1.531,
03NE002,2011-05-19,1.524,
03NE002,2011-05-20,1.515,
03NE002,2011-05-21,1.507,
03NE002,2011-05-22,1.5,
03NE002,2011-05-23,1.505,
03NE002,2011-05-24,1.503,
03NE002,2011-05-25,1.5039999,
03NE002,2011-05-26,1.505,
03NE002,2011-05-27,1.511,
03NE002,2011-05-28,1.517,
03NE002,2011-05-29,1.5319999,
03NE002,2011-05-30,1.5420001,
03NE002,2011-05-31,1.544,
03NE002,2011-06-01,1.544,
03NE002,2011-06-02,1.569,
03NE002,2011-06-03,1.5930001,
03NE002,2011-06-04,1.6,
03NE002,2011-06-05,1.596,
03NE002,2011-06-06,1.605,
03NE002,2011-06-07,1.6109999,
03NE002,2011-06-08,1.614,
03NE002,2011-06-09,1.628,
03NE002,2011-06-10,1.645,
03NE002,2011-06-11,1.63,
03NE002,2011-06-12,1.613,
03NE002,2011-06-13,1.594,
03NE002,2011-06-14,1.576,
03NE002,2011-06-15,1.561,
03NE002,2011-06-16,1.58,
03NE002,2011-06-17,1.612,
03NE002,2011-06-18,1.603,
03NE002,2011-06-19,1.5880001,
03NE002,2011-06-20,1.576,
03NE002,2011-06-21,1.564,
03NE002,2011-06-22,1.55,
03NE002,2011-06-23,1.5369999,
03NE002,2011-06-24,1.525,
03NE002,2011-06-25,1.5140001,
03NE002,2011-06-26,1.505,
03NE002,2011-06-27,1.5039999,
03NE002,2011-06-28,1.499,
03NE002,2011-06-29,1.49,
03NE002,2011-06-30,1.484,
03NE002,2011-07-01,1.484,
03NE002,2011-07-02,1.48,
03NE002,2011-07-03,1.473,
03NE002,2011-07-04,1.4680001,
03NE002,2011-07-05,1.4680001,
03NE002,2011-07-06,1.469,
03NE002,2011-07-07,1.472,
03NE002,2011-07-08,1.466,
03NE002,2011-07-09,1.461,
03NE002,2011-07-10,1.483,
03NE002,2011-07-11,1.4960001,
03NE002,2011-07-12,1.494,
03NE002,2011-07-13,1.49,
03NE002,2011-07-14,1.484,
03NE002,2011-07-15,1.474,
03NE002,2011-07-16,1.4680001,
03NE002,2011-07-17,1.462,
03NE002,2011-07-18,1.46,
03NE002,2011-07-19,1.459,
03NE002,2011-07-20,1.454,
03NE002,2011-07-21,1.447,
03NE002,2011-07-22,1.4400001,
03NE002,2011-07-23,1.434,
03NE002,2011-07-24,1.426,
03NE002,2011-07-25,1.42,
03NE002,2011-07-26,1.415,
03NE002,2011-07-27,1.41,
03NE002,2011-07-28,1.405,
03NE002,2011-07-29,1.4,
03NE002,2011-07-30,1.395,
03NE002,2011-07-31,1.3890001,
03NE002,2011-08-01,1.385,
03NE002,2011-08-02,1.38,
03NE002,2011-08-03,1.376,
03NE002,2011-08-04,1.37,
03NE002,2011-08-05,1.365,
03NE002,2011-08-06,1.363,
03NE002,2011-08-07,1.373,
03NE002,2011-08-08,1.372,
03NE002,2011-08-09,1.372,
03NE002,2011-08-10,1.3710001,
03NE002,2011-08-11,1.368,
03NE002,2011-08-12,1.365,
03NE002,2011-08-13,1.364,
03NE002,2011-08-14,1.368,
03NE002,2011-08-15,1.367,
03NE002,2011-08-16,1.365,
03NE002,2011-08-17,1.3609999,
03NE002,2011-08-18,1.358,
03NE002,2011-08-19,1.357,
03NE002,2011-08-20,1.353,
03NE002,2011-08-21,1.354,
03NE002,2011-08-22,1.364,
03NE002,2011-08-23,1.37,
03NE002,2011-08-24,1.369,
03NE002,2011-08-25,1.365,
03NE002,2011-08-26,1.363,
03NE002,2011-08-27,1.3609999,
03NE002,2011-08-28,1.357,
03NE002,2011-08-29,1.357,
03NE002,2011-08-30,1.373,
03NE002,2011-08-31,1.374,
03NE002,2011-09-01,1.3710001,
03NE002,2011-09-02,1.368,
03NE002,2011-09-03,1.357,
03NE002,2011-09-04,1.3559999,
03NE002,2011-09-05,1.357,
03NE002,2011-09-06,1.354,
03NE002,2011-09-07,1.348,
03NE002,2011-09-08,1.342,
03NE002,2011-09-09,1.345,
03NE002,2011-09-10,1.34,
03NE002,2011-09-11,1.34,
03NE002,2011-09-12,1.332,
03NE002,2011-09-13,1.332,
03NE002,2011-09-14,1.341,
03NE002,2011-09-15,1.341,
03NE002,2011-09-16,1.3660001,
03NE002,2011-09-17,1.413,
03NE002,2011-09-18,1.414,
03NE002,2011-09-19,1.414,
03NE002,2011-09-20,1.416,
03NE002,2011-09-21,1.415,
03NE002,2011-09-22,1.415,
03NE002,2011-09-23,1.413,
03NE002,2011-09-24,1.409,
03NE002,2011-09-25,1.401,
03NE002,2011-09-26,1.401,
03NE002,2011-09-27,1.398,
03NE002,2011-09-28,1.396,
03NE002,2011-09-29,1.391,
03NE002,2011-09-30,1.398,
03NE002,2011-10-01,1.411,
03NE002,2011-10-02,1.4119999,
03NE002,2011-10-03,1.408,
03NE002,2011-10-04,1.4069999,
03NE002,2011-10-05,1.405,A
03NE002,2011-10-06,1.404,
03NE002,2011-10-07,1.4,
03NE002,2011-10-08,1.398,
03NE002,2011-10-09,1.4,
03NE002,2011-10-10,1.406,
03NE002,2011-10-11,1.403,
03NE002,2011-10-12,1.401,
03NE002,2011-10-13,1.403,
03NE002,2011-10-14,1.402,
03NE002,2011-10-15,1.402,
03NE002,2011-10-16,1.411,
03NE002,2011-10-17,1.415,
03NE002,2011-10-18,1.421,
03NE002,2011-10-19,1.42,
03NE002,2011-10-20,1.418,
03NE002,2011-10-21,1.4170001,
03NE002,2011-10-22,1.415,
03NE002,2011-10-23,1.4119999,
03NE002,2011-10-24,1.409,
03NE002,2011-10-25,1.406,
03NE002,2011-10-26,1.408,
03NE002,2011-10-27,1.408,
03NE002,2011-10-28,1.406,
03NE002,2011-10-29,1.403,
03NE002,2011-10-30,1.4,
03NE002,2011-10-31,1.398,
03NE002,2011-11-01,1.393,
03NE002,2011-11-02,1.39,
03NE002,2011-11-03,1.3890001,
03NE002,2011-11-04,1.387,
03NE002,2011-11-05,1.3839999,
03NE002,2011-11-06,1.381,
03NE002,2011-11-07,1.378,
03NE002,2011-11-08,1.376,
03NE002,2011-11-09,1.373,
03NE002,2011-11-10,1.3710001,
03NE002,2011-11-11,1.3710001,
03NE002,2011-11-12,1.376,
03NE002,2011-11-13,1.376,
03NE002,2011-11-14,1.375,
03NE002,2011-11-15,1.375,
03NE002,2011-11-16,1.373,
03NE002,2011-11-17,1.372,
03NE002,2011-11-18,1.386,
03NE002,2011-11-19,1.525,
03NE002,2011-11-20,1.618,A
03NE002,2011-11-21,1.618,
03NE002,2011-11-22,1.654,
03NE002,2011-11-23,1.729,
03NE002,2011-11-24,1.771,
03NE002,2011-11-25,1.7309999,
03NE002,2011-11-26,1.636,
03NE002,2011-11-27,1.603,
03NE002,2011-11-28,1.521,
03NE002,2011-11-29,1.4349999,
03NE002,2011-11-30,1.396,
03NE002,2011-12-01,1.35,
03NE002,2011-12-02,1.321,
03NE002,2011-12-03,1.306,
03NE002,2011-12-04,1.304,
03NE002,2011-12-05,1.301,
03NE002,2011-12-06,1.2920001,
03NE002,2011-12-07,1.279,
03NE002,2011-12-08,1.277,
03NE002,2011-12-09,1.263,
03NE002,2011-12-10,1.219,
03NE002,2011-12-11,1.2029999,
03NE002,2011-12-12,1.197,
03NE002,2011-12-13,1.192,
03NE002,2011-12-14,1.191,
03NE002,2011-12-15,1.193,
03NE002,2011-12-16,1.192,
03NE002,2011-12-17,1.1900001,
03NE002,2011-12-18,1.187,
03NE002,2011-12-19,1.182,
03NE002,2011-12-20,1.181,
03NE002,2011-12-21,1.182,
03NE002,2011-12-22,1.1849999,
03NE002,2011-12-23,1.183,
03NE002,2011-12-24,1.179,
03NE002,2011-12-25,1.179,
03NE002,2011-12-26,1.182,
03NE002,2011-12-27,1.181,
03NE002,2011-12-28,1.181,
03NE002,2011-12-29,1.184,
03NE002,2011-12-30,1.188,
03NE002,2011-12-31,1.186,
03NE002,2012-01-01,1.186,
03NE002,2012-01-02,1.186,
03NE002,2012-01-03,1.188,
03NE002,2012-01-04,1.1849999,
03NE002,2012-01-05,1.1849999,
03NE002,2012-01-06,1.186,
03NE002,2012-01-07,1.184,A
03NE002,2012-01-08,1.182,
03NE002,2012-01-09,1.1799999,
03NE002,2012-01-10,1.184,
03NE002,2012-01-11,1.179,
03NE002,2012-01-12,1.173,
03NE002,2012-01-13,1.178,
03NE002,2012-01-14,1.179,
03NE002,2012-01-15,1.178,
03NE002,2012-01-16,1.176,
03NE002,2012-01-17,1.176,
03NE002,2012-01-18,1.178,
03NE002,2012-01-19,1.1799999,A
