 ID,Date,Level(m),SYM
08GB013,2011-01-01,2.9879999,
08GB013,2011-01-02,2.97,
08GB013,2011-01-03,2.9560001,
08GB013,2011-01-04,2.9460001,
08GB013,2011-01-05,2.954,
08GB013,2011-01-06,3.013,
08GB013,2011-01-07,3.2179999,
08GB013,2011-01-08,3.1470001,
08GB013,2011-01-09,3.0599999,
08GB013,2011-01-10,3.0120001,
08GB013,2011-01-11,2.9920001,
08GB013,2011-01-12,2.9849999,
08GB013,2011-01-13,2.9990001,
08GB013,2011-01-14,3.2179999,
08GB013,2011-01-15,3.4790001,
08GB013,2011-01-16,3.6670001,
08GB013,2011-01-17,3.664,
08GB013,2011-01-18,3.3829999,
08GB013,2011-01-19,3.2219999,
08GB013,2011-01-20,3.142,
08GB013,2011-01-21,3.108,
08GB013,2011-01-22,3.072,
08GB013,2011-01-23,3.046,
08GB013,2011-01-24,3.079,
08GB013,2011-01-25,3.1040001,
08GB013,2011-01-26,3.1170001,
08GB013,2011-01-27,3.108,
08GB013,2011-01-28,3.095,
08GB013,2011-01-29,3.1289999,
08GB013,2011-01-30,3.095,
08GB013,2011-01-31,3.04,
08GB013,2011-02-01,3.0150001,
08GB013,2011-02-02,2.994,
08GB013,2011-02-03,3.0869999,
08GB013,2011-02-04,3.3069999,
08GB013,2011-02-05,3.234,
08GB013,2011-02-06,3.1559999,
08GB013,2011-02-07,3.1440001,
08GB013,2011-02-08,3.0869999,
08GB013,2011-02-09,3.0450001,
08GB013,2011-02-10,3.0190001,
08GB013,2011-02-11,3.0090001,
08GB013,2011-02-12,3.082,
08GB013,2011-02-13,3.118,
08GB013,2011-02-14,3.1459999,
08GB013,2011-02-15,3.165,
08GB013,2011-02-16,3.1029999,
08GB013,2011-02-17,3.0550001,
08GB013,2011-02-18,3.0239999,
08GB013,2011-02-19,2.994,
08GB013,2011-02-20,2.974,
08GB013,2011-02-21,2.9590001,
08GB013,2011-02-22,2.9460001,
08GB013,2011-02-23,2.9300001,
08GB013,2011-02-24,2.9119999,
08GB013,2011-02-25,2.902,
08GB013,2011-02-26,2.902,
08GB013,2011-02-27,2.901,
08GB013,2011-02-28,2.8970001,
08GB013,2011-03-01,2.8929999,
08GB013,2011-03-02,2.9089999,
08GB013,2011-03-03,2.9159999,
08GB013,2011-03-04,2.9070001,
08GB013,2011-03-05,2.9119999,
08GB013,2011-03-06,2.9089999,
08GB013,2011-03-07,2.8989999,
08GB013,2011-03-08,2.895,
08GB013,2011-03-09,2.9200001,
08GB013,2011-03-10,3.0309999,
08GB013,2011-03-11,3.053,
08GB013,2011-03-12,3.089,
08GB013,2011-03-13,3.122,
08GB013,2011-03-14,3.253,
08GB013,2011-03-15,3.2420001,
08GB013,2011-03-16,3.227,
08GB013,2011-03-17,3.1210001,
08GB013,2011-03-18,3.056,
08GB013,2011-03-19,3.03,
08GB013,2011-03-20,3.003,
08GB013,2011-03-21,2.9890001,
08GB013,2011-03-22,2.9860001,
08GB013,2011-03-23,2.974,
08GB013,2011-03-24,2.9660001,
08GB013,2011-03-25,2.97,
08GB013,2011-03-26,2.97,
08GB013,2011-03-27,2.973,
08GB013,2011-03-28,2.98,
08GB013,2011-03-29,3.0179999,
08GB013,2011-03-30,3.109,
08GB013,2011-03-31,3.237,
08GB013,2011-04-01,3.184,
08GB013,2011-04-02,3.1040001,
08GB013,2011-04-03,3.062,
08GB013,2011-04-04,3.0580001,
08GB013,2011-04-05,3.0469999,
08GB013,2011-04-06,3.033,
08GB013,2011-04-07,3.007,
08GB013,2011-04-08,2.9909999,
08GB013,2011-04-09,2.9809999,
08GB013,2011-04-10,3.0120001,
08GB013,2011-04-11,3.1170001,
08GB013,2011-04-12,3.049,
08GB013,2011-04-13,3.0190001,
08GB013,2011-04-14,3.0139999,
08GB013,2011-04-15,2.99,
08GB013,2011-04-16,2.974,
08GB013,2011-04-17,2.957,
08GB013,2011-04-18,2.9449999,
08GB013,2011-04-19,2.937,
08GB013,2011-04-20,2.928,
08GB013,2011-04-21,2.921,
08GB013,2011-04-22,2.921,
08GB013,2011-04-23,2.931,
08GB013,2011-04-24,2.9579999,
08GB013,2011-04-25,2.9879999,
08GB013,2011-04-26,3.02,
08GB013,2011-04-27,3.056,
08GB013,2011-04-28,3.0469999,
08GB013,2011-04-29,3.013,
08GB013,2011-04-30,3.006,
08GB013,2011-05-01,3.0090001,
08GB013,2011-05-02,3.0550001,
08GB013,2011-05-03,3.075,
08GB013,2011-05-04,3.076,
08GB013,2011-05-05,3.0969999,
08GB013,2011-05-06,3.131,
08GB013,2011-05-07,3.1719999,
08GB013,2011-05-08,3.1570001,
08GB013,2011-05-09,3.158,
08GB013,2011-05-10,3.1760001,
08GB013,2011-05-11,3.3710001,
08GB013,2011-05-12,3.335,
08GB013,2011-05-13,3.2160001,
08GB013,2011-05-14,3.2539999,
08GB013,2011-05-15,3.4760001,
08GB013,2011-05-16,3.5009999,
08GB013,2011-05-17,3.402,
08GB013,2011-05-18,3.3139999,
08GB013,2011-05-19,3.276,
08GB013,2011-05-20,3.345,
08GB013,2011-05-21,3.4590001,
08GB013,2011-05-22,3.425,
08GB013,2011-05-23,3.3800001,
08GB013,2011-05-24,3.3640001,
08GB013,2011-05-25,3.336,
08GB013,2011-05-26,3.4119999,
08GB013,2011-05-27,3.349,
08GB013,2011-05-28,3.2950001,
08GB013,2011-05-29,3.313,
08GB013,2011-05-30,3.4389999,
08GB013,2011-05-31,3.45,
08GB013,2011-06-01,3.5480001,
08GB013,2011-06-02,3.553,
08GB013,2011-06-03,3.5280001,
