 ID,Date,Flow(m³/s),SYM
08GB013,1993-06-17,23.299999,A
08GB013,1993-06-18,26.6,
08GB013,1993-06-19,25.6,
08GB013,1993-06-20,20.799999,
08GB013,1993-06-21,18.299999,
08GB013,1993-06-22,15.4,
08GB013,1993-06-23,12.2,
08GB013,1993-06-24,9.6499996,
08GB013,1993-06-25,13.9,
08GB013,1993-06-26,17.799999,
08GB013,1993-06-27,24,
08GB013,1993-06-28,16.299999,
08GB013,1993-06-29,13.1,
08GB013,1993-06-30,11.5,
08GB013,1993-07-01,11.3,
08GB013,1993-07-02,12.7,
08GB013,1993-07-03,14.2,
08GB013,1993-07-04,13.8,
08GB013,1993-07-05,11.8,
08GB013,1993-07-06,10.7,
08GB013,1993-07-07,10.5,
08GB013,1993-07-08,12.5,
08GB013,1993-07-09,12.3,
08GB013,1993-07-10,13.9,
08GB013,1993-07-11,23.299999,
08GB013,1993-07-12,15.8,
08GB013,1993-07-13,14.8,
08GB013,1993-07-14,19.799999,
08GB013,1993-07-15,16.700001,
08GB013,1993-07-16,15.6,
08GB013,1993-07-17,12.1,
08GB013,1993-07-18,11,
08GB013,1993-07-19,10.7,
08GB013,1993-07-20,9.5,
08GB013,1993-07-21,11.1,
08GB013,1993-07-22,9.8900003,
08GB013,1993-07-23,9.8400002,
08GB013,1993-07-24,8.9099998,
08GB013,1993-07-25,8.6899996,
08GB013,1993-07-26,9.46,
08GB013,1993-07-27,9.71,
08GB013,1993-07-28,11.6,
08GB013,1993-07-29,18.200001,
08GB013,1993-07-30,18.200001,
08GB013,1993-07-31,10.3,
08GB013,1993-08-01,9.0299997,
08GB013,1993-08-02,10.2,
08GB013,1993-08-03,11.8,
08GB013,1993-08-04,12.5,
08GB013,1993-08-05,12.4,
08GB013,1993-08-06,12.3,
08GB013,1993-08-07,10.3,
08GB013,1993-08-08,8.7700005,
08GB013,1993-08-09,9.2200003,
08GB013,1993-08-10,8.2299995,
08GB013,1993-08-11,7.2800002,
08GB013,1993-08-12,6.54,
08GB013,1993-08-13,6.3400002,
08GB013,1993-08-14,6.0999999,
08GB013,1993-08-15,6.4499998,
08GB013,1993-08-16,6.9299998,
08GB013,1993-08-17,6.6399999,
08GB013,1993-08-18,6.6399999,
08GB013,1993-08-19,6.75,
08GB013,1993-08-20,7.3600001,
08GB013,1993-08-21,7.4899998,
08GB013,1993-08-22,9.3000002,
08GB013,1993-08-23,39.5,
08GB013,1993-08-24,17.799999,
08GB013,1993-08-25,8.8000002,
08GB013,1993-08-26,6.79,
08GB013,1993-08-27,6.04,
08GB013,1993-08-28,5.6300001,
08GB013,1993-08-29,5.4000001,
08GB013,1993-08-30,5.29,
08GB013,1993-08-31,5.3699999,
08GB013,1993-09-01,5.8200002,
08GB013,1993-09-02,6.6700001,
08GB013,1993-09-03,6.9899998,
08GB013,1993-09-04,6.8200002,
08GB013,1993-09-05,6.8000002,
08GB013,1993-09-06,6.6799998,
08GB013,1993-09-07,6.5799999,
08GB013,1993-09-08,6.4400001,
08GB013,1993-09-09,6.8899999,
08GB013,1993-09-10,6.9899998,
08GB013,1993-09-11,6.29,
08GB013,1993-09-12,4.9299998,
08GB013,1993-09-13,4.4400001,
08GB013,1993-09-14,4.2199998,
08GB013,1993-09-15,4.0500002,
08GB013,1993-09-16,3.8800001,
08GB013,1993-09-17,3.78,
08GB013,1993-09-18,3.72,
08GB013,1993-09-19,3.5699999,
08GB013,1993-09-20,3.3699999,
08GB013,1993-09-21,3.23,
08GB013,1993-09-22,3.2,
08GB013,1993-09-23,3.2,
08GB013,1993-09-24,3.21,
08GB013,1993-09-25,3.21,
08GB013,1993-09-26,3.47,
08GB013,1993-09-27,4.1500001,
08GB013,1993-09-28,4.48,
08GB013,1993-09-29,4.5999999,
08GB013,1993-09-30,4.4299998,
08GB013,1993-10-01,4.4899998,
08GB013,1993-10-02,4.8099999,
08GB013,1993-10-03,4.8299999,
08GB013,1993-10-04,4.6700001,
08GB013,1993-10-05,4.3899999,
08GB013,1993-10-06,4.2800002,
08GB013,1993-10-07,3.8699999,
08GB013,1993-10-08,3.54,
08GB013,1993-10-09,3.4200001,
08GB013,1993-10-10,3.3399999,
08GB013,1993-10-11,3.3299999,
08GB013,1993-10-12,3.3399999,
08GB013,1993-10-13,3.3499999,
08GB013,1993-10-14,4.1100001,
08GB013,1993-10-15,4.4000001,
08GB013,1993-10-16,3.71,
08GB013,1993-10-17,3.3499999,
08GB013,1993-10-18,3.8900001,
08GB013,1993-10-19,4.3099999,
08GB013,1993-10-20,3.4400001,
08GB013,1993-10-21,3.22,
08GB013,1993-10-22,19.4,
08GB013,1993-10-23,36.400002,
08GB013,1993-10-24,27.200001,
08GB013,1993-10-25,9.6400003,
08GB013,1993-10-26,6.23,
08GB013,1993-10-27,5.3299999,
08GB013,1993-10-28,5.5100002,
