 ID,Date,Flow(m³/s),SYM
11AA028,1966-08-26,0,
11AA028,1966-08-27,0,
11AA028,1966-08-28,0,
11AA028,1966-08-29,0,
11AA028,1966-08-30,0,
11AA028,1966-08-31,0,
11AA028,1966-09-01,0,
11AA028,1966-09-02,0,
11AA028,1966-09-03,0,
11AA028,1966-09-04,0,
11AA028,1966-09-05,0,
11AA028,1966-09-06,0,
11AA028,1966-09-07,0,
11AA028,1966-09-08,0,
11AA028,1966-09-09,0,
11AA028,1966-09-10,0,
11AA028,1966-09-11,0,
11AA028,1966-09-12,0,
11AA028,1966-09-13,0,
11AA028,1966-09-14,0,
11AA028,1966-09-15,0,
11AA028,1966-09-16,0,
11AA028,1966-09-17,0,
11AA028,1966-09-18,0,
11AA028,1966-09-19,0,
11AA028,1966-09-20,0,
11AA028,1966-09-21,0,
11AA028,1966-09-22,0,
11AA028,1966-09-23,0,
11AA028,1966-09-24,0,
11AA028,1966-09-25,0,
11AA028,1966-09-26,0,
11AA028,1966-09-27,0,
11AA028,1966-09-28,0,
11AA028,1966-09-29,0,
11AA028,1966-09-30,0,
11AA028,1966-10-01,0,
11AA028,1966-10-02,0,
11AA028,1966-10-03,0,
11AA028,1966-10-04,0,
11AA028,1966-10-05,0,
11AA028,1966-10-06,0,
11AA028,1966-10-07,0,
11AA028,1966-10-08,0,
11AA028,1966-10-09,0,
11AA028,1966-10-10,0,
11AA028,1966-10-11,0,
11AA028,1966-10-12,0,
11AA028,1966-10-13,0,
11AA028,1966-10-14,0,
11AA028,1966-10-15,0,
11AA028,1966-10-16,0,
11AA028,1966-10-17,0,
11AA028,1966-10-18,0,
11AA028,1966-10-19,0,
11AA028,1966-10-20,0,
11AA028,1966-10-21,0,
11AA028,1966-10-22,0,
11AA028,1966-10-23,0,
11AA028,1966-10-24,0,
11AA028,1966-10-25,0,
11AA028,1966-10-26,0,
11AA028,1966-10-27,0,
11AA028,1966-10-28,0,
11AA028,1966-10-29,0,
11AA028,1966-10-30,0,
11AA028,1966-10-31,0,
11AA028,1966-11-01,0,
11AA028,1966-11-02,0,
11AA028,1966-11-03,0,
11AA028,1967-03-01,0.249,B
11AA028,1967-03-02,0.119,B
11AA028,1967-03-03,0.108,B
11AA028,1967-03-04,0.096000001,B
11AA028,1967-03-05,0.085000001,B
11AA028,1967-03-06,0.059,B
11AA028,1967-03-07,0.041999999,B
11AA028,1967-03-08,0.028000001,B
11AA028,1967-03-09,0.014,B
11AA028,1967-03-10,0.006,B
11AA028,1967-03-11,0.006,B
11AA028,1967-03-12,0.006,B
11AA028,1967-03-13,0.006,B
11AA028,1967-03-14,0.008,B
11AA028,1967-03-15,0.008,B
11AA028,1967-03-16,0.028000001,B
11AA028,1967-03-17,0.025,B
11AA028,1967-03-18,0.023,B
11AA028,1967-03-19,0.039999999,B
11AA028,1967-03-20,0.52399999,B
11AA028,1967-03-21,0.63999999,B
11AA028,1967-03-22,0.76999998,B
11AA028,1967-03-23,1.36,B
11AA028,1967-03-24,1.36,B
11AA028,1967-03-25,1.76,
11AA028,1967-03-26,0.42500001,
11AA028,1967-03-27,0.28299999,
11AA028,1967-03-28,0.235,
11AA028,1967-03-29,0.221,
11AA028,1967-03-30,0.13,
11AA028,1967-03-31,0.096000001,
11AA028,1967-04-01,0.122,
11AA028,1967-04-02,0.119,
11AA028,1967-04-03,0.235,
11AA028,1967-04-04,0.73299998,
11AA028,1967-04-05,1.27,
11AA028,1967-04-06,0.49599999,
11AA028,1967-04-07,0.63999999,
11AA028,1967-04-08,0.67699999,
11AA028,1967-04-09,0.46700001,
11AA028,1967-04-10,0.43900001,
11AA028,1967-04-11,0.55199999,
11AA028,1967-04-12,0.56900001,
11AA028,1967-04-13,0.46700001,
11AA028,1967-04-14,0.42500001,
11AA028,1967-04-15,0.35699999,
11AA028,1967-04-16,0.289,
11AA028,1967-04-17,0.25799999,
11AA028,1967-04-18,0.244,
11AA028,1967-04-19,0.178,
11AA028,1967-04-20,0.059,
11AA028,1967-04-21,0.041999999,
11AA028,1967-04-22,0.088,
11AA028,1967-04-23,0.127,
11AA028,1967-04-24,0.153,
11AA028,1967-04-25,0.31099999,
11AA028,1967-04-26,0.34799999,
11AA028,1967-04-27,0.317,
11AA028,1967-04-28,0.32600001,
11AA028,1967-04-29,0.139,
11AA028,1967-04-30,0.127,
11AA028,1967-05-01,0.153,
11AA028,1967-05-02,0.19,
11AA028,1967-05-03,0.23199999,
11AA028,1967-05-04,0.35699999,
11AA028,1967-05-05,0.391,
11AA028,1967-05-06,0.736,
11AA028,1967-05-07,2.21,
11AA028,1967-05-08,6.3099999,
11AA028,1967-05-09,6.4000001,
11AA028,1967-05-10,3.03,
11AA028,1967-05-11,1.91,
11AA028,1967-05-12,1.39,
11AA028,1967-05-13,1.4400001,
11AA028,1967-05-14,1.6,
11AA028,1967-05-15,2.6600001,
11AA028,1967-05-16,4.02,
11AA028,1967-05-17,3.9400001,
11AA028,1967-05-18,4.4699998,
11AA028,1967-05-19,2.8900001,
11AA028,1967-05-20,2.4100001,
11AA028,1967-05-21,2.04,
11AA028,1967-05-22,2.02,
11AA028,1967-05-23,1.86,
11AA028,1967-05-24,1.5599999,
11AA028,1967-05-25,1.2,
11AA028,1967-05-26,0.954,
11AA028,1967-05-27,0.79000002,
11AA028,1967-05-28,0.71399999,
11AA028,1967-05-29,0.67699999,
11AA028,1967-05-30,1.0599999,
11AA028,1967-05-31,1.51,
11AA028,1967-06-01,1.23,
11AA028,1967-06-02,0.912,
11AA028,1967-06-03,1.02,
11AA028,1967-06-04,0.977,
11AA028,1967-06-05,0.67699999,
11AA028,1967-06-06,0.56900001,
11AA028,1967-06-07,0.50999999,
11AA028,1967-06-08,0.45300001,
11AA028,1967-06-09,0.43900001,
11AA028,1967-06-10,0.52399999,
11AA028,1967-06-11,0.60600001,
11AA028,1967-06-12,0.41100001,
11AA028,1967-06-13,0.368,
11AA028,1967-06-14,0.368,
11AA028,1967-06-15,0.317,
11AA028,1967-06-16,0.28299999,
11AA028,1967-06-17,0.27500001,
11AA028,1967-06-18,0.27500001,
11AA028,1967-06-19,0.27500001,
11AA028,1967-06-20,0.235,
11AA028,1967-06-21,0.20999999,
11AA028,1967-06-22,0.198,
11AA028,1967-06-23,0.198,
11AA028,1967-06-24,0.184,
11AA028,1967-06-25,0.167,
11AA028,1967-06-26,0.13600001,
11AA028,1967-06-27,0.093000002,
11AA028,1967-06-28,0.064999998,
11AA028,1967-06-29,0.050999999,
11AA028,1967-06-30,0.041999999,
11AA028,1967-07-01,0.034000002,
11AA028,1967-07-02,0.028000001,
11AA028,1967-07-03,0.023,
11AA028,1967-07-04,0.014,
11AA028,1967-07-05,0.011,
11AA028,1967-07-06,0.008,
11AA028,1967-07-07,0,
11AA028,1967-07-08,0,
11AA028,1967-07-09,0,
11AA028,1967-07-10,0,
11AA028,1967-07-11,0,
11AA028,1967-07-12,0,
11AA028,1967-07-13,0,
11AA028,1967-07-14,0,
11AA028,1967-07-15,0,
11AA028,1967-07-16,0,
11AA028,1967-07-17,0,
11AA028,1967-07-18,0,
11AA028,1967-07-19,0,
11AA028,1967-07-20,0,
11AA028,1967-07-21,0,
11AA028,1967-07-22,0,
11AA028,1967-07-23,0,
11AA028,1967-07-24,0,
11AA028,1967-07-25,0,
11AA028,1967-07-26,0,
11AA028,1967-07-27,0,
11AA028,1967-07-28,0,
11AA028,1967-07-29,0,
11AA028,1967-07-30,0,
11AA028,1967-07-31,0,
11AA028,1967-08-01,0,
11AA028,1967-08-02,0,
11AA028,1967-08-03,0,
11AA028,1967-08-04,0,
11AA028,1967-08-05,0,
11AA028,1967-08-06,0,
11AA028,1967-08-07,0,
11AA028,1967-08-08,0,
11AA028,1967-08-09,0,
11AA028,1967-08-10,0,
11AA028,1967-08-11,0,
11AA028,1967-08-12,0,
11AA028,1967-08-13,0,
11AA028,1967-08-14,0,
11AA028,1967-08-15,0,
11AA028,1967-08-16,0,
11AA028,1967-08-17,0,
11AA028,1967-08-18,0,
11AA028,1967-08-19,0,
11AA028,1967-08-20,0,
11AA028,1967-08-21,0,
11AA028,1967-08-22,0,
11AA028,1967-08-23,0,
11AA028,1967-08-24,0,
11AA028,1967-08-25,0,
11AA028,1967-08-26,0,
11AA028,1967-08-27,0,
11AA028,1967-08-28,0,
11AA028,1967-08-29,0,
11AA028,1967-08-30,0,
11AA028,1967-08-31,0,
11AA028,1967-09-01,0,
11AA028,1967-09-02,0,
11AA028,1967-09-03,0,
11AA028,1967-09-04,0,
11AA028,1967-09-05,0,
11AA028,1967-09-06,0,
11AA028,1967-09-07,0,
11AA028,1967-09-08,0,
11AA028,1967-09-09,0,
11AA028,1967-09-10,0,
11AA028,1967-09-11,0,
11AA028,1967-09-12,0,
11AA028,1967-09-13,0,
11AA028,1967-09-14,0,
