ID,Date,Flow(m³/s),SYM
02DD020,1982-01-01,35.200001,
02DD020,1982-01-02,33.5,E
02DD020,1982-01-03,32.5,E
02DD020,1982-01-04,31.5,E
02DD020,1982-01-05,30.5,
02DD020,1982-01-06,30.0,E
02DD020,1982-01-07,29.5,E
02DD020,1982-01-08,28.9,
02DD020,1982-01-09,28.5,E
02DD020,1982-01-10,28.5,E
02DD020,1982-01-11,28.5,E
02DD020,1982-01-12,28.5,
02DD020,1982-01-13,28.0,E
02DD020,1982-01-14,28.700001,
02DD020,1982-01-15,28.0,
02DD020,1982-01-16,27.5,E
02DD020,1982-01-17,27.5,E
02DD020,1982-01-18,27.0,E
02DD020,1982-01-19,27.0,
02DD020,1982-01-20,26.5,E
02DD020,1982-01-21,26.0,E
02DD020,1982-01-22,25.299999,
02DD020,1982-01-23,25.0,E
02DD020,1982-01-24,25.0,E
02DD020,1982-01-25,24.5,E
02DD020,1982-01-26,24.299999,
02DD020,1982-01-27,23.5,E
02DD020,1982-01-28,23.5,E
02DD020,1982-01-29,22.700001,
02DD020,1982-01-30,22.5,E
02DD020,1982-01-31,22.5,E
02DD020,1982-02-01,22.5,E
02DD020,1982-02-02,22.299999,
02DD020,1982-02-03,22.0,E
02DD020,1982-02-04,21.4,
02DD020,1982-02-05,21.1,
02DD020,1982-02-06,21.0,E
02DD020,1982-02-07,21.0,E
02DD020,1982-02-08,20.9,
02DD020,1982-02-09,19.799999,
02DD020,1982-02-10,19.5,
02DD020,1982-02-11,19.5,
02DD020,1982-02-12,19.299999,
02DD020,1982-02-13,19.200001,
02DD020,1982-02-14,19.1,
02DD020,1982-02-15,19.0,
02DD020,1982-02-16,18.299999,
02DD020,1982-02-17,18.1,
02DD020,1982-02-18,17.5,
02DD020,1982-02-19,17.200001,
02DD020,1982-02-20,17.200001,
02DD020,1982-02-21,17.200001,E
02DD020,1982-02-22,17.200001,
02DD020,1982-02-23,16.799999,
02DD020,1982-02-24,16.799999,
02DD020,1982-02-25,16.4,
02DD020,1982-02-26,16.299999,
02DD020,1982-02-27,16.200001,
02DD020,1982-02-28,16.299999,
02DD020,1982-03-01,16.299999,
02DD020,1982-03-02,16.299999,
02DD020,1982-03-03,16.0,
02DD020,1982-03-04,15.9,
02DD020,1982-03-05,16.1,
02DD020,1982-03-06,16.200001,
02DD020,1982-03-07,16.1,
02DD020,1982-03-08,16.1,
02DD020,1982-03-09,16.1,
02DD020,1982-03-10,16.1,
02DD020,1982-03-11,16.200001,
02DD020,1982-03-12,16.200001,
02DD020,1982-03-13,16.200001,
02DD020,1982-03-14,16.200001,
02DD020,1982-03-15,16.4,
02DD020,1982-03-16,16.6,
02DD020,1982-03-17,16.700001,
02DD020,1982-03-18,16.799999,
02DD020,1982-03-19,16.799999,
02DD020,1982-03-20,16.9,
02DD020,1982-03-21,17.0,
02DD020,1982-03-22,16.9,
02DD020,1982-03-23,16.799999,
02DD020,1982-03-24,16.9,
02DD020,1982-03-25,16.9,
02DD020,1982-03-26,17.4,
02DD020,1982-03-27,17.4,
02DD020,1982-03-28,17.4,
02DD020,1982-03-29,17.4,
02DD020,1982-03-30,17.6,
02DD020,1982-03-31,17.799999,
02DD020,1982-04-01,19.200001,
02DD020,1982-04-02,20.799999,
02DD020,1982-04-03,21.200001,
02DD020,1982-04-04,23.799999,
02DD020,1982-04-05,24.200001,
02DD020,1982-04-06,24.5,
02DD020,1982-04-07,24.6,
02DD020,1982-04-08,24.799999,
02DD020,1982-04-09,24.9,
02DD020,1982-04-10,25.299999,
02DD020,1982-04-11,25.700001,
02DD020,1982-04-12,26.1,
02DD020,1982-04-13,26.5,
02DD020,1982-04-14,29.0,
02DD020,1982-04-15,30.0,
02DD020,1982-04-16,30.700001,
02DD020,1982-04-17,31.6,
02DD020,1982-04-18,31.6,
02DD020,1982-04-19,33.400002,
02DD020,1982-04-20,45.099998,
02DD020,1982-04-21,49.099998,
02DD020,1982-04-22,49.299999,
02DD020,1982-04-23,50.400002,
02DD020,1982-04-24,51.599998,
02DD020,1982-04-25,54.099998,
02DD020,1982-04-26,54.400002,
02DD020,1982-04-27,56.5,
02DD020,1982-04-28,57.0,
02DD020,1982-04-29,59.0,
02DD020,1982-04-30,60.900002,
02DD020,1982-05-01,61.799999,
02DD020,1982-05-02,62.5,
02DD020,1982-05-03,63.0,
02DD020,1982-05-04,64.599998,
02DD020,1982-05-05,65.099998,
02DD020,1982-05-06,65.800003,
02DD020,1982-05-07,66.599998,
02DD020,1982-05-08,66.699997,
02DD020,1982-05-09,67.5,
02DD020,1982-05-10,67.199997,
02DD020,1982-05-11,66.900002,
02DD020,1982-05-12,66.800003,
02DD020,1982-05-13,66.599998,
02DD020,1982-05-14,66.599998,
02DD020,1982-05-15,66.900002,
02DD020,1982-05-16,64.800003,
02DD020,1982-05-17,64.599998,
02DD020,1982-05-18,64.5,
02DD020,1982-05-19,64.300003,
02DD020,1982-05-20,64.0,
02DD020,1982-05-21,32.599998,
02DD020,1982-05-22,21.4,
02DD020,1982-05-23,18.299999,
02DD020,1982-05-24,17.4,
02DD020,1982-05-25,17.200001,
02DD020,1982-05-26,17.0,
02DD020,1982-05-27,17.4,
02DD020,1982-05-28,17.200001,
02DD020,1982-05-29,17.4,
02DD020,1982-05-30,17.200001,
02DD020,1982-05-31,17.200001,
02DD020,1982-06-01,17.9,
02DD020,1982-06-02,17.700001,
02DD020,1982-06-03,18.299999,
02DD020,1982-06-04,18.1,
02DD020,1982-06-05,18.1,
02DD020,1982-06-06,18.200001,
02DD020,1982-06-07,18.1,
02DD020,1982-06-08,18.299999,
02DD020,1982-06-09,18.299999,
02DD020,1982-06-10,18.200001,
02DD020,1982-06-11,18.4,
02DD020,1982-06-12,18.6,
02DD020,1982-06-13,18.6,
02DD020,1982-06-14,18.700001,
02DD020,1982-06-15,18.700001,
02DD020,1982-06-16,18.9,
02DD020,1982-06-17,18.9,
02DD020,1982-06-18,18.799999,
02DD020,1982-06-19,18.9,
02DD020,1982-06-20,19.200001,
02DD020,1982-06-21,19.200001,
02DD020,1982-06-22,19.0,
02DD020,1982-06-23,19.299999,
02DD020,1982-06-24,19.1,
02DD020,1982-06-25,19.1,
02DD020,1982-06-26,19.1,
02DD020,1982-06-27,19.299999,
02DD020,1982-06-28,19.299999,
02DD020,1982-06-29,19.299999,
02DD020,1982-06-30,19.200001,
02DD020,1982-07-01,19.1,
02DD020,1982-07-02,19.1,
02DD020,1982-07-03,19.1,
02DD020,1982-07-04,19.1,
02DD020,1982-07-05,19.0,
02DD020,1982-07-06,18.9,
02DD020,1982-07-07,19.1,
02DD020,1982-07-08,20.0,
02DD020,1982-07-09,19.799999,
02DD020,1982-07-10,18.799999,
02DD020,1982-07-11,18.799999,
02DD020,1982-07-12,18.799999,
02DD020,1982-07-13,18.9,
02DD020,1982-07-14,18.799999,
02DD020,1982-07-15,19.1,
02DD020,1982-07-16,19.1,
02DD020,1982-07-17,19.1,
02DD020,1982-07-18,18.700001,
02DD020,1982-07-19,18.700001,
02DD020,1982-07-20,18.6,
02DD020,1982-07-21,18.5,
02DD020,1982-07-22,18.4,
02DD020,1982-07-23,18.5,
02DD020,1982-07-24,18.1,
02DD020,1982-07-25,18.1,
02DD020,1982-07-26,18.1,
02DD020,1982-07-27,17.9,
02DD020,1982-07-28,17.700001,
02DD020,1982-07-29,18.1,
02DD020,1982-07-30,17.700001,
02DD020,1982-07-31,17.5,
02DD020,1982-08-01,17.5,
02DD020,1982-08-02,17.200001,
02DD020,1982-08-03,16.9,
02DD020,1982-08-04,17.0,
02DD020,1982-08-05,16.9,
02DD020,1982-08-06,16.700001,
02DD020,1982-08-07,16.4,
02DD020,1982-08-08,16.6,
02DD020,1982-08-09,16.5,
02DD020,1982-08-10,16.5,
02DD020,1982-08-11,16.4,
02DD020,1982-08-12,16.200001,
02DD020,1982-08-13,16.0,
02DD020,1982-08-14,16.0,
02DD020,1982-08-15,16.0,
02DD020,1982-08-16,16.0,
02DD020,1982-08-17,16.1,
02DD020,1982-08-18,16.0,
02DD020,1982-08-19,15.7,
02DD020,1982-08-20,15.7,
02DD020,1982-08-21,14.7,
02DD020,1982-08-22,14.3,
02DD020,1982-08-23,14.8,
02DD020,1982-08-24,14.5,
02DD020,1982-08-25,14.4,
02DD020,1982-08-26,14.3,
02DD020,1982-08-27,14.2,
02DD020,1982-08-28,14.1,
02DD020,1982-08-29,14.0,
02DD020,1982-08-30,13.9,
02DD020,1982-08-31,13.9,
02DD020,1982-09-01,13.7,
02DD020,1982-09-02,14.0,
02DD020,1982-09-03,15.0,
02DD020,1982-09-04,15.2,
02DD020,1982-09-05,15.0,
02DD020,1982-09-06,15.3,
02DD020,1982-09-07,15.3,
02DD020,1982-09-08,15.2,
02DD020,1982-09-09,15.1,
02DD020,1982-09-10,14.8,
02DD020,1982-09-11,14.8,
02DD020,1982-09-12,14.8,
02DD020,1982-09-13,14.8,
02DD020,1982-09-14,15.1,
02DD020,1982-09-15,15.4,
02DD020,1982-09-16,15.2,
02DD020,1982-09-17,15.2,
02DD020,1982-09-18,15.2,
02DD020,1982-09-19,15.6,
02DD020,1982-09-20,15.6,
02DD020,1982-09-21,15.5,
