ID,Month,Day,minmax,Date,Level(m)
01AD004,1,1,min,1980-01-01,134.563
01AD004,1,1,max,2019-01-01,139.02
01AD004,1,2,min,1980-01-02,134.55200000000002
01AD004,1,2,max,2019-01-02,139.013
01AD004,1,3,min,1980-01-03,134.592
01AD004,1,3,max,2019-01-03,138.95
01AD004,1,4,min,1980-01-04,134.60898999999998
01AD004,1,4,max,2019-01-04,138.78
01AD004,1,5,min,1980-01-05,134.67799
01AD004,1,5,max,2019-01-05,138.59
01AD004,1,6,min,1980-01-06,134.69901000000002
01AD004,1,6,max,2019-01-06,138.46201000000002
01AD004,1,7,min,1980-01-07,134.717
01AD004,1,7,max,2019-01-07,138.216
01AD004,1,8,min,1980-01-08,134.597
01AD004,1,8,max,2019-01-08,137.94
01AD004,1,9,min,1980-01-09,134.54601
01AD004,1,9,max,2019-01-09,137.83701000000002
01AD004,1,10,min,1980-01-10,134.42799
01AD004,1,10,max,2019-01-10,137.71001
01AD004,1,11,min,1980-01-11,134.754
01AD004,1,11,max,2019-01-11,137.597
01AD004,1,12,min,1980-01-12,134.77
01AD004,1,12,max,2019-01-12,137.452
01AD004,1,13,min,1980-01-13,134.763
01AD004,1,13,max,2019-01-13,138.10001
01AD004,1,14,min,1980-01-14,134.755
01AD004,1,14,max,2019-01-14,138.196
01AD004,1,15,min,1980-01-15,134.741
01AD004,1,15,max,2019-01-15,137.97701
01AD004,1,16,min,1980-01-16,134.745
01AD004,1,16,max,2018-01-16,138.092
01AD004,1,17,min,1980-01-17,134.72899999999998
01AD004,1,17,max,2018-01-17,137.83299
01AD004,1,18,min,1980-01-18,134.714
01AD004,1,18,max,2018-01-18,137.64999
01AD004,1,19,min,1980-01-19,134.705
01AD004,1,19,max,2018-01-19,137.455
01AD004,1,20,min,1980-01-20,134.69701
01AD004,1,20,max,2019-01-20,137.30499
01AD004,1,21,min,1980-01-21,134.69
01AD004,1,21,max,2019-01-21,137.162
01AD004,1,22,min,1980-01-22,134.679
01AD004,1,22,max,2019-01-22,137.03101
01AD004,1,23,min,1980-01-23,134.69
01AD004,1,23,max,2019-01-23,136.97701
01AD004,1,24,min,1980-01-24,134.69799999999998
01AD004,1,24,max,2018-01-24,136.92999
01AD004,1,25,min,1980-01-25,134.69701
01AD004,1,25,max,2019-01-25,137.72301000000002
01AD004,1,26,min,1980-01-26,134.685
01AD004,1,26,max,2019-01-26,136.95399
01AD004,1,27,min,1980-01-27,134.67598999999998
01AD004,1,27,max,2019-01-27,136.923
01AD004,1,28,min,1980-01-28,134.66901
01AD004,1,28,max,2019-01-28,136.957
01AD004,1,29,min,1980-01-29,134.662
01AD004,1,29,max,2019-01-29,136.94501
01AD004,1,30,min,1980-01-30,134.696
01AD004,1,30,max,2019-01-30,137.049
01AD004,1,31,min,1980-01-31,134.7
01AD004,1,31,max,2019-01-31,137.07299999999998
01AD004,2,1,min,1980-02-01,134.702
01AD004,2,1,max,2019-02-01,137.009
01AD004,2,2,min,1980-02-02,134.717
01AD004,2,2,max,2019-02-02,136.933
01AD004,2,3,min,1980-02-03,134.73199
01AD004,2,3,max,2019-02-03,136.86301
01AD004,2,4,min,1980-02-04,134.735
01AD004,2,4,max,2019-02-04,136.791
01AD004,2,5,min,1980-02-05,134.72701
01AD004,2,5,max,2019-02-05,136.72099
01AD004,2,6,min,1980-02-06,134.717
01AD004,2,6,max,2019-02-06,136.606
01AD004,2,7,min,1980-02-07,134.713
01AD004,2,7,max,2019-02-07,136.547
01AD004,2,8,min,1980-02-08,134.70599
01AD004,2,8,max,2019-02-08,136.536
01AD004,2,9,min,1980-02-09,134.701
01AD004,2,9,max,2019-02-09,136.507
01AD004,2,10,min,1980-02-10,134.69298999999998
01AD004,2,10,max,2019-02-10,136.51401
01AD004,2,11,min,1980-02-11,134.69
01AD004,2,11,max,2019-02-11,136.621
01AD004,2,12,min,1980-02-12,134.67799
01AD004,2,12,max,2019-02-12,136.57201
01AD004,2,13,min,1981-02-13,134.688
01AD004,2,13,max,2019-02-13,136.54601
01AD004,2,14,min,1981-02-14,134.66901
01AD004,2,14,max,2019-02-14,136.46899
01AD004,2,15,min,1981-02-15,134.672
01AD004,2,15,max,2019-02-15,136.412
01AD004,2,16,min,1981-02-16,134.668
01AD004,2,16,max,2019-02-16,136.507
01AD004,2,17,min,1981-02-17,134.662
01AD004,2,17,max,2019-02-17,136.444
01AD004,2,18,min,1981-02-18,134.64999
01AD004,2,18,max,2019-02-18,136.394
01AD004,2,19,min,1981-02-19,134.64799
01AD004,2,19,max,2019-02-19,136.32201
01AD004,2,20,min,1981-02-20,134.63699
01AD004,2,20,max,2019-02-20,136.5
01AD004,2,21,min,1981-02-21,134.64301
01AD004,2,21,max,2019-02-21,136.62801000000002
01AD004,2,22,min,1981-02-22,134.642
01AD004,2,22,max,2019-02-22,136.798
01AD004,2,23,min,1981-02-23,134.63901
01AD004,2,23,max,2019-02-23,137.12399
01AD004,2,24,min,1981-02-24,134.631
01AD004,2,24,max,2019-02-24,137.67700000000002
01AD004,2,25,min,1981-02-25,134.63499
01AD004,2,25,max,2019-02-25,138.77
01AD004,2,26,min,1981-02-26,134.64101000000002
01AD004,2,26,max,2019-02-26,138.838
01AD004,2,27,min,1980-02-27,134.65601
01AD004,2,27,max,2018-02-27,138.339
01AD004,2,28,min,1980-02-28,134.68401
01AD004,2,28,max,2018-02-28,137.856
01AD004,2,29,min,1980-02-29,134.75
01AD004,2,29,max,2016-02-29,137.02100000000002
01AD004,3,1,min,1980-03-01,134.666
01AD004,3,1,max,2018-03-01,137.312
01AD004,3,2,min,1981-03-02,134.67101
01AD004,3,2,max,2018-03-02,137.017
01AD004,3,3,min,1981-03-03,134.683
01AD004,3,3,max,2018-03-03,136.92
01AD004,3,4,min,1981-03-04,134.717
01AD004,3,4,max,2018-03-04,136.79201
01AD004,3,5,min,1981-03-05,134.744
01AD004,3,5,max,2019-03-05,136.657
01AD004,3,6,min,1981-03-06,134.767
01AD004,3,6,max,2019-03-06,136.526
01AD004,3,7,min,1981-03-07,134.743
01AD004,3,7,max,2019-03-07,136.416
01AD004,3,8,min,1981-03-08,134.73398999999998
01AD004,3,8,max,2018-03-08,136.328
01AD004,3,9,min,1981-03-09,134.731
01AD004,3,9,max,2018-03-09,136.395
01AD004,3,10,min,1981-03-10,134.72899999999998
01AD004,3,10,max,2018-03-10,136.436
01AD004,3,11,min,1981-03-11,134.72501
01AD004,3,11,max,2018-03-11,136.436
01AD004,3,12,min,1981-03-12,134.70599
01AD004,3,12,max,2018-03-12,136.437
01AD004,3,13,min,1981-03-13,134.69298999999998
01AD004,3,13,max,2018-03-13,136.8
01AD004,3,14,min,1981-03-14,134.69
01AD004,3,14,max,2018-03-14,136.92598999999998
01AD004,3,15,min,1981-03-15,134.66701
01AD004,3,15,max,2019-03-15,136.894
01AD004,3,16,min,1981-03-16,134.653
01AD004,3,16,max,2018-03-16,136.834
01AD004,3,17,min,1981-03-17,134.61501
01AD004,3,17,max,2018-03-17,136.787
01AD004,3,18,min,1981-03-18,134.576
01AD004,3,18,max,2019-03-18,136.783
01AD004,3,19,min,1980-03-19,134.56798999999998
01AD004,3,19,max,2019-03-19,136.79601
01AD004,3,20,min,1980-03-20,134.55499
01AD004,3,20,max,2019-03-20,136.759
01AD004,3,21,min,1980-03-21,134.575
01AD004,3,21,max,2019-03-21,137.064
01AD004,3,22,min,1980-03-22,134.58501
01AD004,3,22,max,2019-03-22,137.12601
01AD004,3,23,min,1980-03-23,134.597
01AD004,3,23,max,2019-03-23,137.049
01AD004,3,24,min,1980-03-24,134.60201
01AD004,3,24,max,2019-03-24,136.924
01AD004,3,25,min,1980-03-25,134.618
01AD004,3,25,max,2019-03-25,136.737
01AD004,3,26,min,1980-03-26,134.63499
01AD004,3,26,max,2019-03-26,136.618
01AD004,3,27,min,1980-03-27,134.674
01AD004,3,27,max,2019-03-27,136.52499
01AD004,3,28,min,1980-03-28,134.72899999999998
01AD004,3,28,max,2019-03-28,136.55499
01AD004,3,29,min,1980-03-29,134.76199
01AD004,3,29,max,2019-03-29,136.511
01AD004,3,30,min,1980-03-30,134.76601000000002
01AD004,3,30,max,2019-03-30,136.59801000000002
01AD004,3,31,min,1980-03-31,134.77698999999998
01AD004,3,31,max,2019-03-31,137.81
01AD004,4,1,min,1980-04-01,134.77901
01AD004,4,1,max,2019-04-01,138.89999
01AD004,4,2,min,1980-04-02,134.763
01AD004,4,2,max,2019-04-02,139.89999
01AD004,4,3,min,1980-04-03,134.77698999999998
01AD004,4,3,max,2019-04-03,139.972
01AD004,4,4,min,1980-04-04,134.845
01AD004,4,4,max,2019-04-04,139.12
01AD004,4,5,min,1980-04-05,134.851
01AD004,4,5,max,2019-04-05,138.52200000000002
01AD004,4,6,min,1980-04-06,134.83
01AD004,4,6,max,2019-04-06,138.86700000000002
01AD004,4,7,min,1980-04-07,134.84399
01AD004,4,7,max,2019-04-07,139.567
01AD004,4,8,min,1980-04-08,134.84
01AD004,4,8,max,2019-04-08,139.73599
01AD004,4,9,min,1980-04-09,134.85201
01AD004,4,9,max,2019-04-09,139.366
01AD004,4,10,min,1980-04-10,134.88901
01AD004,4,10,max,2019-04-10,139.32001
01AD004,4,11,min,1980-04-11,134.953
01AD004,4,11,max,2019-04-11,140.7
01AD004,4,12,min,1980-04-12,135.041
01AD004,4,12,max,2019-04-12,138.763
01AD004,4,13,min,1980-04-13,135.166
01AD004,4,13,max,2019-04-13,140.047
01AD004,4,14,min,1980-04-14,135.155
01AD004,4,14,max,2019-04-14,139.91499
01AD004,4,15,min,1980-04-15,135.16298999999998
01AD004,4,15,max,2019-04-15,139.065
01AD004,4,16,min,1980-04-16,135.173
01AD004,4,16,max,2019-04-16,138.40601
01AD004,4,17,min,1980-04-17,135.172
01AD004,4,17,max,2019-04-17,139.597
01AD004,4,18,min,1980-04-18,135.222
01AD004,4,18,max,2019-04-18,141.7
01AD004,4,19,min,1980-04-19,135.38
01AD004,4,19,max,2019-04-19,141.77100000000004
01AD004,4,20,min,1980-04-20,135.528
01AD004,4,20,max,2019-04-20,140.558
01AD004,4,21,min,1980-04-21,135.76199
01AD004,4,21,max,2019-04-21,140.123
01AD004,4,22,min,1980-04-22,135.80701000000002
01AD004,4,22,max,2019-04-22,140.32401000000002
01AD004,4,23,min,1980-04-23,135.92
01AD004,4,23,max,2019-04-23,140.944
01AD004,4,24,min,1980-04-24,135.97501
01AD004,4,24,max,2019-04-24,140.64700000000002
01AD004,4,25,min,1980-04-25,135.93401
01AD004,4,25,max,2019-04-25,139.806
01AD004,4,26,min,1980-04-26,135.84399
01AD004,4,26,max,2019-04-26,139.952
01AD004,4,27,min,1980-04-27,135.739
01AD004,4,27,max,2019-04-27,140.78999
01AD004,4,28,min,1980-04-28,135.62198999999998
01AD004,4,28,max,2019-04-28,140.67598999999998
01AD004,4,29,min,1980-04-29,135.548
01AD004,4,29,max,2019-04-29,140.847
01AD004,4,30,min,1980-04-30,135.42101
01AD004,4,30,max,2019-04-30,141.776
01AD004,5,1,min,1980-05-01,135.388
01AD004,5,1,max,2019-05-01,142.888
01AD004,5,2,min,1980-05-02,135.375
01AD004,5,2,max,2019-05-02,141.535
01AD004,5,3,min,1980-05-03,135.37
01AD004,5,3,max,2019-05-03,140.60399999999998
01AD004,5,4,min,1980-05-04,135.33299
01AD004,5,4,max,2019-05-04,140.58701000000002
01AD004,5,5,min,1980-05-05,135.285
01AD004,5,5,max,2019-05-05,140.42
01AD004,5,6,min,1980-05-06,135.19901000000002
01AD004,5,6,max,2019-05-06,140.506
01AD004,5,7,min,1980-05-07,135.13901
01AD004,5,7,max,2019-05-07,140.269
01AD004,5,8,min,1980-05-08,135.123
01AD004,5,8,max,2019-05-08,139.524
01AD004,5,9,min,1980-05-09,135.13901
01AD004,5,9,max,2019-05-09,138.83299
01AD004,5,10,min,1980-05-10,135.10201
01AD004,5,10,max,2019-05-10,138.69298999999998
01AD004,5,11,min,1980-05-11,135.049
01AD004,5,11,max,2019-05-11,138.485
01AD004,5,12,min,1980-05-12,135.01199
01AD004,5,12,max,2019-05-12,138.172
01AD004,5,13,min,1980-05-13,134.98801
01AD004,5,13,max,2019-05-13,137.759
01AD004,5,14,min,1980-05-14,134.98199
01AD004,5,14,max,2019-05-14,137.388
01AD004,5,15,min,1980-05-15,135.011
01AD004,5,15,max,2019-05-15,137.304
01AD004,5,16,min,1980-05-16,134.991
01AD004,5,16,max,2019-05-16,137.263
01AD004,5,17,min,1980-05-17,134.939
01AD004,5,17,max,2019-05-17,136.944
01AD004,5,18,min,1980-05-18,134.907
01AD004,5,18,max,2019-05-18,136.76801
01AD004,5,19,min,1980-05-19,134.869
01AD004,5,19,max,2019-05-19,136.674
01AD004,5,20,min,1980-05-20,134.83501
01AD004,5,20,max,2019-05-20,136.52299
01AD004,5,21,min,1980-05-21,134.80299
01AD004,5,21,max,2019-05-21,136.47899999999998
01AD004,5,22,min,1980-05-22,134.782
01AD004,5,22,max,2019-05-22,136.50799999999998
01AD004,5,23,min,1980-05-23,134.767
01AD004,5,23,max,2019-05-23,136.416
01AD004,5,24,min,1980-05-24,134.744
01AD004,5,24,max,2019-05-24,136.27901
01AD004,5,25,min,1980-05-25,134.75
01AD004,5,25,max,2019-05-25,136.907
01AD004,5,26,min,1980-05-26,134.783
01AD004,5,26,max,2019-05-26,137.19
01AD004,5,27,min,1980-05-27,134.84399
01AD004,5,27,max,2019-05-27,137.661
01AD004,5,28,min,1980-05-28,134.80200000000002
01AD004,5,28,max,2019-05-28,137.461
01AD004,5,29,min,1980-05-29,134.798
01AD004,5,29,max,2019-05-29,137.00101
01AD004,5,30,min,1980-05-30,134.741
01AD004,5,30,max,2019-05-30,136.93201000000002
01AD004,5,31,min,1980-05-31,134.70599
01AD004,5,31,max,2019-05-31,137.05098999999998
01AD004,6,1,min,1980-06-01,134.696
01AD004,6,1,max,2019-06-01,136.70799
01AD004,6,2,min,1980-06-02,134.681
01AD004,6,2,max,2019-06-02,136.75101
01AD004,6,3,min,1980-06-03,134.72501
01AD004,6,3,max,2019-06-03,137.174
01AD004,6,4,min,1980-06-04,134.86700000000002
01AD004,6,4,max,2019-06-04,136.993
01AD004,6,5,min,1980-06-05,134.847
