 ID,Date,Level(m),SYM
05HA003,2011-03-01,2.128,
05HA003,2011-03-02,2.1199999,
05HA003,2011-03-03,2.118,
05HA003,2011-03-04,2.1029999,
05HA003,2011-03-05,2.102,
05HA003,2011-03-06,2.0810001,
05HA003,2011-03-07,2.082,
05HA003,2011-03-08,2.059,
05HA003,2011-03-09,2.033,
05HA003,2011-03-10,2.026,
05HA003,2011-03-11,2.457,
05HA003,2011-03-12,2.411,
05HA003,2011-03-13,2.2390001,
05HA003,2011-03-14,2.5880001,
05HA003,2011-03-15,2.7479999,
05HA003,2011-03-16,2.619,
05HA003,2011-03-17,2.4790001,
05HA003,2011-03-18,2.2060001,
05HA003,2011-03-19,2.1530001,
05HA003,2011-03-20,2.115,
05HA003,2011-03-21,2.0599999,
05HA003,2011-03-22,2.029,
05HA003,2011-03-23,2.0020001,
05HA003,2011-03-24,1.985,
05HA003,2011-03-25,1.969,
05HA003,2011-03-26,1.979,
05HA003,2011-03-27,1.964,
05HA003,2011-03-28,1.967,
05HA003,2011-03-29,1.97,
05HA003,2011-03-30,2.027,
05HA003,2011-03-31,2.096,
05HA003,2011-04-01,2.1199999,
05HA003,2011-04-02,2.092,
05HA003,2011-04-03,2.0239999,
05HA003,2011-04-04,2.0280001,
05HA003,2011-04-05,2.0639999,A
05HA003,2011-04-06,2.1240001,
05HA003,2011-04-07,2.132,
05HA003,2011-04-08,2.1210001,
05HA003,2011-04-09,2.1259999,
05HA003,2011-04-10,2.1689999,
05HA003,2011-04-11,2.2160001,
05HA003,2011-04-12,2.3,
05HA003,2011-04-13,2.2520001,
05HA003,2011-04-14,2.22,
05HA003,2011-04-15,2.155,
05HA003,2011-04-16,2.1440001,
05HA003,2011-04-17,2.1259999,
05HA003,2011-04-18,2.1059999,
05HA003,2011-04-19,2.082,
05HA003,2011-04-20,2.0680001,
05HA003,2011-04-21,2.0739999,
05HA003,2011-04-22,2.1040001,
05HA003,2011-04-23,2.1570001,
05HA003,2011-04-24,2.217,
05HA003,2011-04-25,2.3180001,
05HA003,2011-04-26,2.3940001,
05HA003,2011-04-27,2.4130001,
05HA003,2011-04-28,2.4560001,
05HA003,2011-04-29,2.4920001,
05HA003,2011-04-30,2.451,
05HA003,2011-05-01,2.4489999,
05HA003,2011-05-02,2.404,
05HA003,2011-05-03,2.4909999,
