 ID,Date,Level(m),SYM
06EC007,1985-06-19,257.992,A
06EC007,1985-06-27,258.11099,A
06EC007,1985-06-28,258.11899,A
06EC007,1985-06-29,258.13599,A
06EC007,1985-06-30,258.147,A
06EC007,1985-07-01,258.159,A
06EC007,1985-07-02,258.17599,A
06EC007,1985-07-03,258.202,A
06EC007,1985-07-04,258.216,A
06EC007,1985-07-05,258.245,A
06EC007,1985-07-06,258.229,A
06EC007,1985-07-07,258.23401,A
06EC007,1985-07-08,258.254,A
06EC007,1985-07-09,258.241,A
06EC007,1985-07-10,258.26001,A
06EC007,1985-07-11,258.284,A
06EC007,1985-07-12,258.29599,A
06EC007,1985-07-13,258.28201,A
06EC007,1985-07-14,258.28201,A
06EC007,1985-07-15,258.276,A
06EC007,1985-07-16,258.25699,A
06EC007,1985-07-17,258.24899,A
06EC007,1985-07-18,258.27899,A
06EC007,1985-07-19,258.255,A
06EC007,1985-07-20,258.23999,A
06EC007,1985-07-21,258.26999,A
06EC007,1985-07-22,258.26001,A
06EC007,1985-07-23,258.23901,A
06EC007,1985-07-24,258.21799,A
06EC007,1985-07-25,258.27701,A
06EC007,1985-07-26,258.26001,A
06EC007,1985-07-27,258.30801,A
06EC007,1985-07-28,258.271,A
06EC007,1985-07-29,258.25201,A
06EC007,1985-07-30,258.255,A
06EC007,1985-07-31,258.24799,A
06EC007,1985-08-01,258.242,A
06EC007,1985-08-02,258.22101,A
06EC007,1985-08-03,258.27399,A
06EC007,1985-08-04,258.22501,A
06EC007,1985-08-05,258.24399,A
06EC007,1985-08-06,258.228,A
06EC007,1985-08-07,258.24399,A
06EC007,1985-08-08,258.22501,A
06EC007,1985-08-09,258.25699,A
06EC007,1985-08-10,258.245,E
06EC007,1985-08-11,258.22299,E
06EC007,1985-08-12,258.20099,A
06EC007,1985-08-13,258.22299,A
06EC007,1985-08-14,258.19699,A
06EC007,1985-08-15,258.18399,A
06EC007,1985-08-16,258.17999,A
06EC007,1985-08-17,258.181,A
06EC007,1985-08-18,258.172,A
06EC007,1985-08-19,258.15399,A
06EC007,1985-08-20,258.15201,A
06EC007,1985-08-21,258.14099,A
06EC007,1985-08-22,258.142,A
06EC007,1985-08-23,258.14499,A
06EC007,1985-08-24,258.13599,A
06EC007,1985-08-25,258.147,A
06EC007,1985-08-26,258.07501,A
06EC007,1985-08-27,258.082,A
06EC007,1985-08-28,258.12299,A
06EC007,1985-08-29,258.125,A
06EC007,1985-08-30,258.11099,A
06EC007,1985-08-31,258.17899,A
06EC007,1985-09-01,258.10699,A
06EC007,1985-09-02,258.11401,A
06EC007,1985-09-03,258.108,A
06EC007,1985-09-04,258.13599,A
06EC007,1985-09-05,258.108,A
06EC007,1985-09-06,258.15302,A
06EC007,1985-09-07,258.10101,A
06EC007,1985-09-08,258.08701,A
06EC007,1985-09-09,258.08499,A
06EC007,1985-09-10,258.13199,A
06EC007,1985-09-11,258.08701,A
06EC007,1985-09-12,258.09,A
06EC007,1985-09-13,258.09698,A
06EC007,1985-09-14,258.08301,A
06EC007,1985-09-15,258.08099,A
06EC007,1985-09-16,258.078,A
06EC007,1985-09-17,258.08401,A
