 ID,Date,Level(m),SYM
07FB004,2011-01-01,1.242,
07FB004,2011-01-02,1.2410001,
07FB004,2011-01-03,1.247,
07FB004,2011-01-04,1.272,
07FB004,2011-01-05,1.298,
07FB004,2011-01-06,1.3,
07FB004,2011-01-07,1.279,
07FB004,2011-01-08,1.265,
07FB004,2011-01-09,1.257,
07FB004,2011-01-10,1.24,A
07FB004,2011-01-11,1.2130001,
07FB004,2011-01-12,1.192,
07FB004,2011-01-17,1.137,A
07FB004,2011-01-18,1.133,
07FB004,2011-01-19,1.132,
07FB004,2011-01-20,1.1440001,
07FB004,2011-01-21,1.145,
07FB004,2011-01-22,1.159,
07FB004,2011-01-23,1.16,
07FB004,2011-01-24,1.1569999,
07FB004,2011-01-25,1.153,
07FB004,2011-01-26,1.161,
07FB004,2011-01-27,1.186,
07FB004,2011-01-28,1.217,
07FB004,2011-01-29,1.204,
07FB004,2011-01-30,1.156,
07FB004,2011-01-31,1.1289999,
07FB004,2011-02-01,1.118,
07FB004,2011-02-02,1.118,
07FB004,2011-02-03,1.117,
07FB004,2011-02-04,1.127,
07FB004,2011-02-05,1.125,
07FB004,2011-02-06,1.104,
07FB004,2011-02-07,1.101,
07FB004,2011-02-08,1.1,
07FB004,2011-02-09,1.099,
07FB004,2011-02-10,1.103,
07FB004,2011-02-11,1.102,
07FB004,2011-02-12,1.099,
07FB004,2011-02-13,1.098,
07FB004,2011-02-14,1.0930001,
07FB004,2011-02-15,1.0930001,
07FB004,2011-02-16,1.0930001,
07FB004,2011-02-17,1.09,
07FB004,2011-02-18,1.0880001,A
07FB004,2011-02-19,1.082,A
07FB004,2011-02-20,1.081,
07FB004,2011-02-21,1.081,
07FB004,2011-02-22,1.08,
07FB004,2011-02-23,1.08,
07FB004,2011-02-24,1.081,A
07FB004,2011-02-25,1.076,
07FB004,2011-02-26,1.074,
07FB004,2011-02-27,1.075,
07FB004,2011-02-28,1.08,A
07FB004,2011-03-01,1.079,A
07FB004,2011-03-02,1.075,A
07FB004,2011-03-03,1.073,
07FB004,2011-03-04,1.0700001,
07FB004,2011-03-05,1.068,
07FB004,2011-03-06,1.0700001,
07FB004,2011-03-07,1.0700001,A
07FB004,2011-03-08,1.069,
07FB004,2011-03-09,1.0650001,
07FB004,2011-03-10,1.066,
07FB004,2011-03-11,1.0700001,
07FB004,2011-03-12,1.068,
07FB004,2011-03-13,1.068,
07FB004,2011-03-14,1.0700001,
07FB004,2011-03-15,1.067,
07FB004,2011-03-16,1.071,
07FB004,2011-03-17,1.072,
07FB004,2011-03-18,1.073,
07FB004,2011-03-19,1.0700001,
07FB004,2011-03-20,1.0700001,
07FB004,2011-03-21,1.0700001,
07FB004,2011-03-22,1.074,
07FB004,2011-03-23,1.075,
07FB004,2011-03-24,1.076,
07FB004,2011-03-25,1.075,
07FB004,2011-03-26,1.074,
07FB004,2011-03-27,1.074,
07FB004,2011-03-28,1.075,
07FB004,2011-03-29,1.091,
07FB004,2011-03-30,1.103,
07FB004,2011-03-31,1.1,
07FB004,2011-04-01,1.102,
07FB004,2011-04-02,1.101,
07FB004,2011-04-03,1.105,
07FB004,2011-04-04,1.113,
07FB004,2011-04-05,1.118,
07FB004,2011-04-06,1.112,
07FB004,2011-04-07,1.1059999,
07FB004,2011-04-08,1.112,
07FB004,2011-04-09,1.117,
07FB004,2011-04-10,1.131,
07FB004,2011-04-11,1.1339999,
07FB004,2011-04-12,1.133,
07FB004,2011-04-13,1.143,
07FB004,2011-04-14,1.146,
07FB004,2011-04-15,1.138,
07FB004,2011-04-16,1.123,
07FB004,2011-04-17,1.117,
07FB004,2011-04-18,1.12,
07FB004,2011-04-19,1.1160001,
07FB004,2011-04-20,1.118,
