 ID,Date,Level(m),SYM
09CD001,2011-01-01,9.9940004,
09CD001,2011-01-02,9.9809999,
09CD001,2011-01-03,9.967,
09CD001,2011-01-04,9.9610004,
09CD001,2011-01-05,9.9650002,
09CD001,2011-01-06,9.9530001,
09CD001,2011-01-07,9.9490004,
09CD001,2011-01-08,9.9399996,
09CD001,2011-01-09,9.941,
09CD001,2011-01-10,9.9259996,
09CD001,2011-01-11,9.9090004,
09CD001,2011-01-12,9.8879995,
09CD001,2011-01-13,9.8669996,
09CD001,2011-01-14,9.8629999,
09CD001,2011-01-15,9.8629999,
09CD001,2011-01-25,9.6400003,A
09CD001,2011-01-26,9.6300001,
09CD001,2011-01-27,9.618,
09CD001,2011-01-28,9.6160002,
09CD001,2011-01-29,9.618,
09CD001,2011-01-30,9.6090002,
09CD001,2011-01-31,9.5959997,
09CD001,2011-02-01,9.5860004,
09CD001,2011-02-02,9.5629997,
09CD001,2011-02-03,9.5389996,
09CD001,2011-02-04,9.5249996,
09CD001,2011-02-05,9.5109997,
09CD001,2011-02-06,9.4890003,
09CD001,2011-02-07,9.4689999,
09CD001,2011-02-08,9.4580002,
09CD001,2011-02-09,9.4460001,
09CD001,2011-02-10,9.4200001,
09CD001,2011-02-11,9.3999996,
09CD001,2011-02-12,9.3839998,
09CD001,2011-02-13,9.3719997,
09CD001,2011-02-14,9.3470001,
09CD001,2011-02-15,9.3280001,
09CD001,2011-02-16,9.309,
09CD001,2011-02-17,9.2919998,
09CD001,2011-02-18,9.2700005,
09CD001,2011-02-19,9.2370005,
09CD001,2011-02-20,9.1859999,
09CD001,2011-02-21,9.1499996,
09CD001,2011-02-22,9.1359997,
09CD001,2011-02-23,9.1280003,
09CD001,2011-02-24,9.1289997,
09CD001,2011-02-25,9.1280003,
09CD001,2011-02-26,9.1149998,
09CD001,2011-02-27,9.1059999,
09CD001,2011-02-28,9.1029997,
09CD001,2011-03-01,9.0970001,
09CD001,2011-03-02,9.0819998,
09CD001,2011-03-03,9.0439997,
09CD001,2011-03-04,9.0380001,
09CD001,2011-03-05,9.0270004,
09CD001,2011-03-06,9.0190001,
09CD001,2011-03-07,9.0150003,
09CD001,2011-03-08,9.0100002,
09CD001,2011-03-09,8.9949999,
09CD001,2011-03-10,8.9890003,
09CD001,2011-03-11,8.9799995,
09CD001,2011-03-12,8.9720001,
09CD001,2011-03-13,8.9639997,
09CD001,2011-03-14,8.9530001,
09CD001,2011-03-15,8.9390001,
09CD001,2011-03-16,8.9250002,
09CD001,2011-03-17,8.9180002,
09CD001,2011-03-18,8.9110003,
09CD001,2011-03-19,8.9060001,
09CD001,2011-03-20,8.901,
09CD001,2011-03-21,8.8999996,
09CD001,2011-03-22,8.8990002,
09CD001,2011-03-23,8.8970003,
09CD001,2011-03-24,8.8979998,
09CD001,2011-03-25,8.8990002,
09CD001,2011-03-26,8.8970003,
09CD001,2011-03-27,8.8959999,
09CD001,2011-03-28,8.8940001,
09CD001,2011-03-29,8.8929996,
09CD001,2011-03-30,8.8909998,
09CD001,2011-03-31,8.8909998,
09CD001,2011-04-01,8.8940001,
09CD001,2011-04-02,8.8979998,
09CD001,2011-04-03,8.901,
09CD001,2011-04-04,8.9069996,
09CD001,2011-04-05,8.908,
09CD001,2011-04-06,8.9169998,
09CD001,2011-04-07,8.927,
09CD001,2011-04-08,8.9280005,
09CD001,2011-04-09,8.9379997,
09CD001,2011-04-10,8.9469995,
09CD001,2011-04-11,8.9540005,
09CD001,2011-04-12,8.9580002,
09CD001,2011-04-13,8.9519997,
09CD001,2011-04-14,8.9589996,
09CD001,2011-04-15,8.9630003,
09CD001,2011-04-16,8.9729996,
09CD001,2011-04-17,8.9860001,
09CD001,2011-04-18,8.9989996,
09CD001,2011-04-19,9.007,
09CD001,2011-04-20,9.0120001,
09CD001,2011-04-21,9.0150003,
09CD001,2011-04-22,9.0150003,
09CD001,2011-04-23,9.0139999,
09CD001,2011-04-24,9.0489998,
09CD001,2011-04-25,9.0699997,
09CD001,2011-04-26,9.1040001,
09CD001,2011-04-27,9.1300001,
09CD001,2011-04-28,9.1549997,
09CD001,2011-04-29,9.1709995,
09CD001,2011-04-30,9.1750002,
09CD001,2011-05-01,9.1809998,
09CD001,2011-05-02,9.2139997,
09CD001,2011-05-03,9.2849998,
09CD001,2011-05-04,9.3120003,
09CD001,2011-05-05,9.3920002,
09CD001,2011-05-06,9.4840002,
09CD001,2011-05-07,9.5799999,
09CD001,2011-05-08,9.7270002,
09CD001,2011-05-09,9.9189997,
09CD001,2011-05-10,9.9239998,
09CD001,2011-05-11,9.7340002,
09CD001,2011-05-12,9.6549997,
09CD001,2011-05-13,9.507,
09CD001,2011-05-14,9.1789999,
09CD001,2011-05-15,8.4580002,
09CD001,2011-05-16,8.4639997,
09CD001,2011-05-17,8.4940004,
09CD001,2011-05-18,8.5749998,
09CD001,2011-05-19,8.7299995,
09CD001,2011-05-20,8.9569998,
09CD001,2011-05-21,9.1739998,
09CD001,2011-05-22,9.3450003,
09CD001,2011-05-23,9.4790001,
09CD001,2011-05-24,9.5760002,
09CD001,2011-05-25,9.6619997,
09CD001,2011-05-26,9.7180004,
09CD001,2011-05-27,9.8129997,
09CD001,2011-05-28,9.8620005,
09CD001,2011-05-29,9.9049997,
09CD001,2011-05-30,9.9250002,
09CD001,2011-05-31,9.908,
09CD001,2011-06-01,9.8959999,
09CD001,2011-06-02,9.9110003,
09CD001,2011-06-03,9.927,
09CD001,2011-06-04,9.9200001,
09CD001,2011-06-05,9.948,
09CD001,2011-06-06,9.9720001,
09CD001,2011-06-07,9.927,
09CD001,2011-06-08,9.8269997,
09CD001,2011-06-09,9.7519999,
09CD001,2011-06-10,9.7180004,
09CD001,2011-06-11,9.6990004,
09CD001,2011-06-12,9.7010002,
09CD001,2011-06-13,9.7110004,
09CD001,2011-06-14,9.7449999,
09CD001,2011-06-15,9.7390003,
09CD001,2011-06-16,9.6920004,
09CD001,2011-06-17,9.6499996,
09CD001,2011-06-18,9.5880003,
09CD001,2011-06-19,9.5270004,
09CD001,2011-06-20,9.493,
09CD001,2011-06-21,9.493,
09CD001,2011-06-22,9.5419998,
09CD001,2011-06-23,9.6490002,
09CD001,2011-06-24,9.6920004,
09CD001,2011-06-25,9.7119999,
09CD001,2011-06-26,9.7069998,
09CD001,2011-06-27,9.7250004,
09CD001,2011-06-28,9.7349997,
09CD001,2011-06-29,9.724,
09CD001,2011-06-30,9.7460003,
