 ID,Date,Level(m),SYM
11AA028,2012-03-01,0.62199998,A
11AA028,2012-03-12,0.74299997,A
11AA028,2012-03-13,0.73900002,
11AA028,2012-03-14,0.76099998,
11AA028,2012-03-15,0.72000003,
11AA028,2012-03-16,0.71200001,
11AA028,2012-03-17,0.69599998,
11AA028,2012-03-18,0.67299998,
11AA028,2012-03-19,0.65399998,
11AA028,2012-03-20,0.61799997,
11AA028,2012-03-21,0.58899999,
11AA028,2012-03-22,0.64600003,
11AA028,2012-03-23,0.72500002,
11AA028,2012-03-24,0.73400003,
11AA028,2012-03-25,0.74299997,
11AA028,2012-03-26,0.76099998,
11AA028,2012-03-27,0.78100002,
11AA028,2012-03-28,0.79000002,
11AA028,2012-03-29,0.79799998,
11AA028,2012-03-30,0.80199999,
11AA028,2012-03-31,0.80900002,
11AA028,2012-04-01,0.81900001,
11AA028,2012-04-02,0.80699998,
11AA028,2012-04-03,0.79100001,
11AA028,2012-04-04,0.77399999,
11AA028,2012-04-05,0.76300001,
11AA028,2012-04-06,0.76099998,
11AA028,2012-04-07,0.75199997,
11AA028,2012-04-08,0.74400002,
11AA028,2012-04-09,0.74299997,
11AA028,2012-04-10,0.741,
11AA028,2012-04-11,0.73900002,
11AA028,2012-04-12,0.75300002,
11AA028,2012-04-13,0.78299999,
11AA028,2012-04-14,0.79799998,
11AA028,2012-04-15,0.78200001,
11AA028,2012-04-16,0.77200001,
11AA028,2012-04-17,0.76499999,
11AA028,2012-04-18,0.76200002,
11AA028,2012-04-19,0.764,
11AA028,2012-04-20,0.75599998,
11AA028,2012-04-21,0.74800003,
11AA028,2012-04-22,0.74000001,
11AA028,2012-04-23,0.73699999,
11AA028,2012-04-24,0.73000002,
11AA028,2012-04-25,0.722,
11AA028,2012-04-26,0.727,
11AA028,2012-04-27,0.77399999,
11AA028,2012-04-28,0.83399999,
11AA028,2012-04-29,0.84899998,
11AA028,2012-04-30,0.82700002,
11AA028,2012-05-01,0.80400002,
11AA028,2012-05-02,0.79400003,
11AA028,2012-05-03,0.78899997,
11AA028,2012-05-04,0.78100002,
