ID,Year,Month,Day,Parameter,Level (m)
01AD004,2020,1,1,46,136.3613819444446
01AD004,2020,1,2,46,136.31565972222214
01AD004,2020,1,3,46,136.2598576388889
01AD004,2020,1,4,46,136.21352430555544
01AD004,2020,1,5,46,136.13381944444447
01AD004,2020,1,6,46,135.96389236111102
01AD004,2020,1,7,46,135.94149305555536
01AD004,2020,1,8,46,135.9296944444444
01AD004,2020,1,9,46,135.92297222222223
01AD004,2020,1,10,46,135.83797916666663
01AD004,2020,1,11,46,135.92539930555557
01AD004,2020,1,12,46,135.90904166666687
01AD004,2020,1,13,46,135.8534340277778
01AD004,2020,1,14,46,135.926871527778
01AD004,2020,1,15,46,136.01672222222228
01AD004,2020,1,16,46,136.29494791666656
01AD004,2020,1,17,46,136.410701388889
01AD004,2020,1,18,46,136.32405555555545
01AD004,2020,1,19,46,136.23945486111106
01AD004,2020,1,20,46,136.1627048611111
01AD004,2020,1,21,46,136.09404166666678
01AD004,2020,1,22,46,136.05241666666635
01AD004,2020,1,23,46,136.03122222222248
01AD004,2020,1,24,46,136.04386111111108
01AD004,2020,1,25,46,136.17130555555548
01AD004,2020,1,26,46,136.0680624999997
01AD004,2020,1,27,46,136.00483333333347
01AD004,2020,1,28,46,136.1619270833333
01AD004,2020,1,29,46,136.02899652777785
01AD004,2020,1,30,46,136.00247222222222
01AD004,2020,1,31,46,136.03224652777774
01AD004,2020,2,1,46,135.94451388888882
01AD004,2020,2,2,46,135.97710416666672
01AD004,2020,2,3,46,135.90384027777793
01AD004,2020,2,4,46,135.85001041666678
01AD004,2020,2,5,46,135.97832986111106
01AD004,2020,2,6,46,136.05583333333337
01AD004,2020,2,7,46,135.96644791666654
01AD004,2020,2,8,46,135.85436458333325
01AD004,2020,2,9,46,135.91914583333326
01AD004,2020,2,10,46,135.8759548611111
01AD004,2020,2,11,46,135.79574305555545
01AD004,2020,2,12,46,135.77273958333336
01AD004,2020,2,13,46,135.74302083333316
01AD004,2020,2,14,46,135.69768750000003
01AD004,2020,2,15,46,135.68054166666676
01AD004,2020,2,16,46,135.6454826388889
01AD004,2020,2,17,46,135.60226388888893
01AD004,2020,2,18,46,135.5622083333333
01AD004,2020,2,19,46,135.51661805555574
01AD004,2020,2,20,46,135.473996527778
01AD004,2020,2,21,46,135.4401597222221
01AD004,2020,2,22,46,135.41640625000022
01AD004,2020,2,23,46,135.44477083333345
01AD004,2020,2,24,46,135.4429444444445
01AD004,2020,2,25,46,135.4205208333334
01AD004,2020,2,26,46,135.41865277777796
01AD004,2020,2,27,46,135.4579756944444
01AD004,2020,2,28,46,135.47713541666656
01AD004,2020,2,29,46,135.5391874999999
01AD004,2020,3,1,46,135.54298958333328
01AD004,2020,3,2,46,135.43103472222228
01AD004,2020,3,3,46,135.54961111111115
01AD004,2020,3,4,46,135.50717013888894
01AD004,2020,3,5,46,135.503826388889
01AD004,2020,3,6,46,135.5516527777778
01AD004,2020,3,7,46,135.5762222222221
01AD004,2020,3,8,46,135.50540972222223
01AD004,2020,3,9,46,135.57139236111126
01AD004,2020,3,10,46,135.6448576388888
01AD004,2020,3,11,46,135.71943402777785
01AD004,2020,3,12,46,135.73466319444455
01AD004,2020,3,13,46,135.77138541666656
