01AD004,"SAINT JOHN RIVER AT EDMUNDSTON"
Description of parameters:
46,"Water level (primary sensor)",m

Date,Parameter ,Value (m)
2020-01-01 00:00:00,46,136.410
2020-01-01 00:05:00,46,136.410
2020-01-01 00:10:00,46,136.409
2020-01-01 00:15:00,46,136.408
2020-01-01 00:20:00,46,136.407
2020-01-01 00:25:00,46,136.407
2020-01-01 00:30:00,46,136.407
2020-01-01 00:35:00,46,136.405
2020-01-01 00:40:00,46,136.404
2020-01-01 00:45:00,46,136.404
2020-01-01 00:50:00,46,136.403
2020-01-01 00:55:00,46,136.403
2020-01-01 01:00:00,46,136.403
2020-01-01 01:05:00,46,136.401
2020-01-01 01:10:00,46,136.400
2020-01-01 01:15:00,46,136.399
2020-01-01 01:20:00,46,136.399
2020-01-01 01:25:00,46,136.398
2020-01-01 01:30:00,46,136.397
2020-01-01 01:35:00,46,136.397
2020-01-01 01:40:00,46,136.397
2020-01-01 01:45:00,46,136.397
2020-01-01 01:50:00,46,136.396
2020-01-01 01:55:00,46,136.396
2020-01-01 02:00:00,46,136.395
2020-01-01 02:05:00,46,136.395
2020-01-01 02:10:00,46,136.395
2020-01-01 02:15:00,46,136.395
2020-01-01 02:20:00,46,136.395
2020-01-01 02:25:00,46,136.394
2020-01-01 02:30:00,46,136.393
2020-01-01 02:35:00,46,136.394
2020-01-01 02:40:00,46,136.394
2020-01-01 02:45:00,46,136.392
2020-01-01 02:50:00,46,136.392
2020-01-01 02:55:00,46,136.392
2020-01-01 03:00:00,46,136.391
2020-01-01 03:05:00,46,136.390
2020-01-01 03:10:00,46,136.390
2020-01-01 03:15:00,46,136.389
2020-01-01 03:20:00,46,136.389
2020-01-01 03:25:00,46,136.389
2020-01-01 03:30:00,46,136.389
2020-01-01 03:35:00,46,136.388
2020-01-01 03:40:00,46,136.387
2020-01-01 03:45:00,46,136.387
2020-01-01 03:50:00,46,136.386
2020-01-01 03:55:00,46,136.386
2020-01-01 04:00:00,46,136.385
2020-01-01 04:05:00,46,136.384
2020-01-01 04:10:00,46,136.384
2020-01-01 04:15:00,46,136.384
2020-01-01 04:20:00,46,136.383
2020-01-01 04:25:00,46,136.382
2020-01-01 04:30:00,46,136.381
2020-01-01 04:35:00,46,136.381
2020-01-01 04:40:00,46,136.380
2020-01-01 04:45:00,46,136.380
2020-01-01 04:50:00,46,136.379
2020-01-01 04:55:00,46,136.378
2020-01-01 05:00:00,46,136.378
2020-01-01 05:05:00,46,136.377
2020-01-01 05:10:00,46,136.377
2020-01-01 05:15:00,46,136.376
2020-01-01 05:20:00,46,136.375
2020-01-01 05:25:00,46,136.375
2020-01-01 05:30:00,46,136.374
2020-01-01 05:35:00,46,136.374
2020-01-01 05:40:00,46,136.375
2020-01-01 05:45:00,46,136.373
2020-01-01 05:50:00,46,136.372
2020-01-01 05:55:00,46,136.372
2020-01-01 06:00:00,46,136.371
2020-01-01 06:05:00,46,136.370
2020-01-01 06:10:00,46,136.369
2020-01-01 06:15:00,46,136.369
2020-01-01 06:20:00,46,136.368
2020-01-01 06:25:00,46,136.368
2020-01-01 06:30:00,46,136.367
2020-01-01 06:35:00,46,136.367
2020-01-01 06:40:00,46,136.367
2020-01-01 06:45:00,46,136.367
2020-01-01 06:50:00,46,136.368
2020-01-01 06:55:00,46,136.367
2020-01-01 07:00:00,46,136.367
2020-01-01 07:05:00,46,136.366
2020-01-01 07:10:00,46,136.365
2020-01-01 07:15:00,46,136.364
2020-01-01 07:20:00,46,136.362
2020-01-01 07:25:00,46,136.362
2020-01-01 07:30:00,46,136.363
2020-01-01 07:35:00,46,136.362
2020-01-01 07:40:00,46,136.360
2020-01-01 07:45:00,46,136.361
2020-01-01 07:50:00,46,136.360
2020-01-01 07:55:00,46,136.359
2020-01-01 08:00:00,46,136.358
2020-01-01 08:05:00,46,136.357
2020-01-01 08:10:00,46,136.357
2020-01-01 08:15:00,46,136.355
2020-01-01 08:20:00,46,136.355
2020-01-01 08:25:00,46,136.354
2020-01-01 08:30:00,46,136.354
2020-01-01 08:35:00,46,136.354
2020-01-01 08:40:00,46,136.353
2020-01-01 08:45:00,46,136.353
2020-01-01 08:50:00,46,136.352
2020-01-01 08:55:00,46,136.350
2020-01-01 09:00:00,46,136.351
2020-01-01 09:05:00,46,136.349
2020-01-01 09:10:00,46,136.349
2020-01-01 09:15:00,46,136.349
2020-01-01 09:20:00,46,136.348
2020-01-01 09:25:00,46,136.347
2020-01-01 09:30:00,46,136.347
2020-01-01 09:35:00,46,136.345
2020-01-01 09:40:00,46,136.347
2020-01-01 09:45:00,46,136.346
2020-01-01 09:50:00,46,136.345
2020-01-01 09:55:00,46,136.345
2020-01-01 10:00:00,46,136.345
2020-01-01 10:05:00,46,136.345
2020-01-01 10:10:00,46,136.345
2020-01-01 10:15:00,46,136.344
2020-01-01 10:20:00,46,136.344
2020-01-01 10:25:00,46,136.345
2020-01-01 10:30:00,46,136.346
2020-01-01 10:35:00,46,136.346
2020-01-01 10:40:00,46,136.347
2020-01-01 10:45:00,46,136.347
2020-01-01 10:50:00,46,136.346
2020-01-01 10:55:00,46,136.347
2020-01-01 11:00:00,46,136.347
2020-01-01 11:05:00,46,136.348
2020-01-01 11:10:00,46,136.348
2020-01-01 11:15:00,46,136.348
2020-01-01 11:20:00,46,136.347
2020-01-01 11:25:00,46,136.346
2020-01-01 11:30:00,46,136.346
2020-01-01 11:35:00,46,136.346
2020-01-01 11:40:00,46,136.344
2020-01-01 11:45:00,46,136.345
2020-01-01 11:50:00,46,136.344
2020-01-01 11:55:00,46,136.344
2020-01-01 12:00:00,46,136.343
2020-01-01 12:05:00,46,136.342
2020-01-01 12:10:00,46,136.342
2020-01-01 12:15:00,46,136.342
2020-01-01 12:20:00,46,136.342
2020-01-01 12:25:00,46,136.341
2020-01-01 12:30:00,46,136.341
2020-01-01 12:35:00,46,136.340
2020-01-01 12:40:00,46,136.339
2020-01-01 12:45:00,46,136.339
2020-01-01 12:50:00,46,136.339
2020-01-01 12:55:00,46,136.338
2020-01-01 13:00:00,46,136.338
2020-01-01 13:05:00,46,136.338
2020-01-01 13:10:00,46,136.338
2020-01-01 13:15:00,46,136.338
2020-01-01 13:20:00,46,136.338
2020-01-01 13:25:00,46,136.338
2020-01-01 13:30:00,46,136.337
2020-01-01 13:35:00,46,136.338
2020-01-01 13:40:00,46,136.339
2020-01-01 13:45:00,46,136.338
2020-01-01 13:50:00,46,136.339
2020-01-01 13:55:00,46,136.339
2020-01-01 14:00:00,46,136.340
2020-01-01 14:05:00,46,136.339
2020-01-01 14:10:00,46,136.337
2020-01-01 14:15:00,46,136.338
2020-01-01 14:20:00,46,136.338
2020-01-01 14:25:00,46,136.339
2020-01-01 14:30:00,46,136.339
2020-01-01 14:35:00,46,136.338
2020-01-01 14:40:00,46,136.338
2020-01-01 14:45:00,46,136.338
2020-01-01 14:50:00,46,136.337
2020-01-01 14:55:00,46,136.337
2020-01-01 15:00:00,46,136.337
2020-01-01 15:05:00,46,136.337
2020-01-01 15:10:00,46,136.338
2020-01-01 15:15:00,46,136.339
2020-01-01 15:20:00,46,136.339
2020-01-01 15:25:00,46,136.339
2020-01-01 15:30:00,46,136.339
2020-01-01 15:35:00,46,136.340
2020-01-01 15:40:00,46,136.339
2020-01-01 15:45:00,46,136.339
2020-01-01 15:50:00,46,136.340
