04LG004,"MOOSE RIVER ABOVE MOOSE RIVER"
Description of parameters:
46,"Water level (primary sensor)",m

Date,Parameter ,Value (m)
2020-01-01 00:00:00,46,87.865
2020-01-01 00:05:00,46,87.868
2020-01-01 00:10:00,46,87.871
2020-01-01 00:15:00,46,87.873
2020-01-01 00:20:00,46,87.876
2020-01-01 00:25:00,46,87.879
2020-01-01 00:30:00,46,87.881
2020-01-01 00:35:00,46,87.884
2020-01-01 00:40:00,46,87.887
2020-01-01 00:45:00,46,87.890
2020-01-01 00:50:00,46,87.893
2020-01-01 00:55:00,46,87.896
2020-01-01 01:00:00,46,87.899
2020-01-01 01:05:00,46,87.902
2020-01-01 01:10:00,46,87.905
2020-01-01 01:15:00,46,87.908
2020-01-01 01:20:00,46,87.911
2020-01-01 01:25:00,46,87.914
2020-01-01 01:30:00,46,87.917
2020-01-01 01:35:00,46,87.920
2020-01-01 01:40:00,46,87.923
2020-01-01 01:45:00,46,87.925
2020-01-01 01:50:00,46,87.929
2020-01-01 01:55:00,46,87.931
2020-01-01 02:00:00,46,87.934
2020-01-01 02:05:00,46,87.937
2020-01-01 02:10:00,46,87.939
2020-01-01 02:15:00,46,87.942
2020-01-01 02:20:00,46,87.945
2020-01-01 02:25:00,46,87.947
2020-01-01 02:30:00,46,87.950
2020-01-01 02:35:00,46,87.953
2020-01-01 02:40:00,46,87.955
2020-01-01 02:45:00,46,87.958
2020-01-01 02:50:00,46,87.960
2020-01-01 02:55:00,46,87.962
2020-01-01 03:00:00,46,87.965
2020-01-01 03:05:00,46,87.968
2020-01-01 03:10:00,46,87.969
2020-01-01 03:15:00,46,87.972
2020-01-01 03:20:00,46,87.974
2020-01-01 03:25:00,46,87.976
2020-01-01 03:30:00,46,87.978
2020-01-01 03:35:00,46,87.981
2020-01-01 03:40:00,46,87.982
2020-01-01 03:45:00,46,87.984
2020-01-01 03:50:00,46,87.987
2020-01-01 03:55:00,46,87.989
2020-01-01 04:00:00,46,87.990
2020-01-01 04:05:00,46,87.992
2020-01-01 04:10:00,46,87.994
2020-01-01 04:15:00,46,87.996
2020-01-01 04:20:00,46,87.998
2020-01-01 04:25:00,46,87.999
2020-01-01 04:30:00,46,88.001
2020-01-01 04:35:00,46,88.003
2020-01-01 04:40:00,46,88.004
2020-01-01 04:45:00,46,88.005
2020-01-01 04:50:00,46,88.007
2020-01-01 04:55:00,46,88.008
2020-01-01 05:00:00,46,88.009
2020-01-01 05:05:00,46,88.010
2020-01-01 05:10:00,46,88.012
2020-01-01 05:15:00,46,88.013
2020-01-01 05:20:00,46,88.014
2020-01-01 05:25:00,46,88.015
2020-01-01 05:30:00,46,88.016
2020-01-01 05:35:00,46,88.017
2020-01-01 05:40:00,46,88.018
2020-01-01 05:45:00,46,88.019
2020-01-01 05:50:00,46,88.020
2020-01-01 05:55:00,46,88.021
2020-01-01 06:00:00,46,88.022
2020-01-01 06:05:00,46,88.023
2020-01-01 06:10:00,46,88.023
2020-01-01 06:15:00,46,88.024
2020-01-01 06:20:00,46,88.025
2020-01-01 06:25:00,46,88.025
2020-01-01 06:30:00,46,88.026
2020-01-01 06:35:00,46,88.026
2020-01-01 06:40:00,46,88.027
2020-01-01 06:45:00,46,88.027
2020-01-01 06:50:00,46,88.028
2020-01-01 06:55:00,46,88.028
2020-01-01 07:00:00,46,88.029
2020-01-01 07:05:00,46,88.029
2020-01-01 07:10:00,46,88.029
2020-01-01 07:15:00,46,88.029
2020-01-01 07:20:00,46,88.030
2020-01-01 07:25:00,46,88.030
2020-01-01 07:30:00,46,88.030
2020-01-01 07:35:00,46,88.030
2020-01-01 07:40:00,46,88.030
2020-01-01 07:45:00,46,88.031
2020-01-01 07:50:00,46,88.030
2020-01-01 07:55:00,46,88.031
2020-01-01 08:00:00,46,88.031
2020-01-01 08:05:00,46,88.030
2020-01-01 08:10:00,46,88.031
2020-01-01 08:15:00,46,88.030
2020-01-01 08:20:00,46,88.031
2020-01-01 08:25:00,46,88.030
2020-01-01 08:30:00,46,88.030
2020-01-01 08:35:00,46,88.030
2020-01-01 08:40:00,46,88.030
2020-01-01 08:45:00,46,88.030
2020-01-01 08:50:00,46,88.029
2020-01-01 08:55:00,46,88.029
2020-01-01 09:00:00,46,88.029
2020-01-01 09:05:00,46,88.029
2020-01-01 09:10:00,46,88.028
2020-01-01 09:15:00,46,88.028
2020-01-01 09:20:00,46,88.027
2020-01-01 09:25:00,46,88.027
2020-01-01 09:30:00,46,88.027
2020-01-01 09:35:00,46,88.026
2020-01-01 09:40:00,46,88.026
2020-01-01 09:45:00,46,88.025
2020-01-01 09:50:00,46,88.025
2020-01-01 09:55:00,46,88.024
2020-01-01 10:00:00,46,88.024
2020-01-01 10:05:00,46,88.024
2020-01-01 10:10:00,46,88.023
2020-01-01 10:15:00,46,88.023
2020-01-01 10:20:00,46,88.022
2020-01-01 10:25:00,46,88.021
2020-01-01 10:30:00,46,88.021
2020-01-01 10:35:00,46,88.020
2020-01-01 10:40:00,46,88.019
2020-01-01 10:45:00,46,88.019
2020-01-01 10:50:00,46,88.018
2020-01-01 10:55:00,46,88.017
2020-01-01 11:00:00,46,88.017
2020-01-01 11:05:00,46,88.016
2020-01-01 11:10:00,46,88.016
2020-01-01 11:15:00,46,88.015
2020-01-01 11:20:00,46,88.014
2020-01-01 11:25:00,46,88.014
2020-01-01 11:30:00,46,88.013
2020-01-01 11:35:00,46,88.012
2020-01-01 11:40:00,46,88.011
2020-01-01 11:45:00,46,88.011
2020-01-01 11:50:00,46,88.010
2020-01-01 11:55:00,46,88.009
2020-01-01 12:00:00,46,88.009
2020-01-01 12:05:00,46,88.008
2020-01-01 12:10:00,46,88.007
2020-01-01 12:15:00,46,88.006
2020-01-01 12:20:00,46,88.005
2020-01-01 12:25:00,46,88.004
2020-01-01 12:30:00,46,88.004
2020-01-01 12:35:00,46,88.003
2020-01-01 12:40:00,46,88.002
2020-01-01 12:45:00,46,88.002
2020-01-01 12:50:00,46,88.001
2020-01-01 12:55:00,46,88.000
2020-01-01 13:00:00,46,87.999
2020-01-01 13:05:00,46,87.998
2020-01-01 13:10:00,46,87.997
2020-01-01 13:15:00,46,87.996
2020-01-01 13:20:00,46,87.996
2020-01-01 13:25:00,46,87.995
2020-01-01 13:30:00,46,87.994
2020-01-01 13:35:00,46,87.993
2020-01-01 13:40:00,46,87.993
2020-01-01 13:45:00,46,87.992
2020-01-01 13:50:00,46,87.991
2020-01-01 13:55:00,46,87.990
2020-01-01 14:00:00,46,87.990
2020-01-01 14:05:00,46,87.989
2020-01-01 14:10:00,46,87.988
2020-01-01 14:15:00,46,87.987
2020-01-01 14:20:00,46,87.986
2020-01-01 14:25:00,46,87.985
2020-01-01 14:30:00,46,87.985
2020-01-01 14:35:00,46,87.984
2020-01-01 14:40:00,46,87.983
2020-01-01 14:45:00,46,87.982
2020-01-01 14:50:00,46,87.981
2020-01-01 14:55:00,46,87.981
2020-01-01 15:00:00,46,87.980
2020-01-01 15:05:00,46,87.979
2020-01-01 15:10:00,46,87.978
2020-01-01 15:15:00,46,87.977
2020-01-01 15:20:00,46,87.976
2020-01-01 15:25:00,46,87.976
2020-01-01 15:30:00,46,87.975
2020-01-01 15:35:00,46,87.974
2020-01-01 15:40:00,46,87.974
2020-01-01 15:45:00,46,87.973
2020-01-01 15:50:00,46,87.972
