09CD001,"YUKON RIVER ABOVE WHITE RIVER"
Description of parameters:
46,"Water level (primary sensor)",m

Date,Parameter ,Value (m)
2020-01-05 12:00:00,46,9.079
2020-01-05 12:05:00,46,9.079
2020-01-05 12:10:00,46,9.080
2020-01-05 12:15:00,46,9.079
2020-01-05 12:20:00,46,9.080
2020-01-05 12:25:00,46,9.080
2020-01-05 12:30:00,46,9.080
2020-01-05 12:35:00,46,9.080
2020-01-05 12:40:00,46,9.080
2020-01-05 12:45:00,46,9.081
2020-01-05 12:50:00,46,9.082
2020-01-05 12:55:00,46,9.082
2020-01-05 13:00:00,46,9.082
2020-01-05 13:05:00,46,9.082
2020-01-05 13:10:00,46,9.082
2020-01-05 13:15:00,46,9.084
2020-01-05 13:20:00,46,9.084
2020-01-05 13:25:00,46,9.085
2020-01-05 13:30:00,46,9.085
2020-01-05 13:35:00,46,9.086
2020-01-05 13:40:00,46,9.086
2020-01-05 13:45:00,46,9.087
2020-01-05 13:50:00,46,9.088
2020-01-05 13:55:00,46,9.088
2020-01-05 14:00:00,46,9.089
2020-01-05 14:05:00,46,9.090
2020-01-05 14:10:00,46,9.090
2020-01-05 14:15:00,46,9.091
2020-01-05 14:20:00,46,9.091
2020-01-05 14:25:00,46,9.092
2020-01-05 14:30:00,46,9.092
2020-01-05 14:35:00,46,9.092
2020-01-05 14:40:00,46,9.092
2020-01-05 14:45:00,46,9.093
2020-01-05 14:50:00,46,9.093
2020-01-05 14:55:00,46,9.093
2020-01-05 15:00:00,46,9.092
2020-01-05 15:05:00,46,9.092
2020-01-05 15:10:00,46,9.092
2020-01-05 15:15:00,46,9.092
2020-01-05 15:20:00,46,9.091
2020-01-05 15:25:00,46,9.091
2020-01-05 15:30:00,46,9.091
2020-01-05 15:35:00,46,9.091
2020-01-05 15:40:00,46,9.091
2020-01-05 15:45:00,46,9.091
2020-01-05 15:50:00,46,9.090
2020-01-05 15:55:00,46,9.090
2020-01-05 16:00:00,46,9.090
2020-01-05 16:05:00,46,9.089
2020-01-05 16:10:00,46,9.089
2020-01-05 16:15:00,46,9.088
2020-01-05 16:20:00,46,9.089
2020-01-05 16:25:00,46,9.088
2020-01-05 16:30:00,46,9.087
2020-01-05 16:35:00,46,9.087
2020-01-05 16:40:00,46,9.088
2020-01-05 16:45:00,46,9.088
2020-01-05 16:50:00,46,9.087
2020-01-05 16:55:00,46,9.087
2020-01-05 17:00:00,46,9.088
2020-01-05 17:05:00,46,9.087
2020-01-05 17:10:00,46,9.087
2020-01-05 17:15:00,46,9.087
2020-01-05 17:20:00,46,9.087
2020-01-05 17:25:00,46,9.086
2020-01-05 17:30:00,46,9.086
2020-01-05 17:35:00,46,9.086
2020-01-05 17:40:00,46,9.086
2020-01-05 17:45:00,46,9.086
2020-01-05 17:50:00,46,9.085
2020-01-05 17:55:00,46,9.084
2020-01-05 18:00:00,46,9.084
2020-01-05 18:05:00,46,9.084
2020-01-05 18:10:00,46,9.084
2020-01-05 18:15:00,46,9.084
2020-01-05 18:20:00,46,9.084
2020-01-05 18:25:00,46,9.083
2020-01-05 18:30:00,46,9.084
2020-01-05 18:35:00,46,9.083
2020-01-05 18:40:00,46,9.084
2020-01-05 18:45:00,46,9.084
2020-01-05 18:50:00,46,9.083
2020-01-05 18:55:00,46,9.083
2020-01-05 19:00:00,46,9.083
2020-01-05 19:05:00,46,9.083
2020-01-05 19:10:00,46,9.083
2020-01-05 19:15:00,46,9.083
2020-01-05 19:20:00,46,9.082
2020-01-05 19:25:00,46,9.082
2020-01-05 19:30:00,46,9.082
2020-01-05 19:35:00,46,9.082
2020-01-05 19:40:00,46,9.082
2020-01-05 19:45:00,46,9.082
2020-01-05 19:50:00,46,9.082
2020-01-05 19:55:00,46,9.081
2020-01-05 20:00:00,46,9.081
2020-01-05 20:05:00,46,9.081
2020-01-05 20:10:00,46,9.081
2020-01-05 20:15:00,46,9.080
2020-01-05 20:20:00,46,9.080
2020-01-05 20:25:00,46,9.080
2020-01-05 20:30:00,46,9.080
2020-01-05 20:35:00,46,9.080
2020-01-05 20:40:00,46,9.080
2020-01-05 20:45:00,46,9.080
2020-01-05 20:50:00,46,9.080
2020-01-05 20:55:00,46,9.080
2020-01-05 21:00:00,46,9.080
2020-01-05 21:05:00,46,9.080
2020-01-05 21:10:00,46,9.080
2020-01-05 21:15:00,46,9.080
2020-01-05 21:20:00,46,9.080
2020-01-05 21:25:00,46,9.079
2020-01-05 21:30:00,46,9.080
2020-01-05 21:35:00,46,9.079
2020-01-05 21:40:00,46,9.079
2020-01-05 21:45:00,46,9.079
2020-01-05 21:50:00,46,9.079
2020-01-05 21:55:00,46,9.079
2020-01-05 22:00:00,46,9.078
2020-01-05 22:05:00,46,9.079
2020-01-05 22:10:00,46,9.079
2020-01-05 22:15:00,46,9.078
2020-01-05 22:20:00,46,9.078
2020-01-05 22:25:00,46,9.078
2020-01-05 22:30:00,46,9.078
2020-01-05 22:35:00,46,9.078
2020-01-05 22:40:00,46,9.078
2020-01-05 22:45:00,46,9.078
2020-01-05 22:50:00,46,9.078
2020-01-05 22:55:00,46,9.078
2020-01-05 23:00:00,46,9.078
2020-01-05 23:05:00,46,9.077
2020-01-05 23:10:00,46,9.078
2020-01-05 23:15:00,46,9.078
2020-01-05 23:20:00,46,9.078
2020-01-05 23:25:00,46,9.077
2020-01-05 23:30:00,46,9.078
2020-01-05 23:35:00,46,9.077
2020-01-05 23:40:00,46,9.077
2020-01-05 23:45:00,46,9.077
2020-01-05 23:50:00,46,9.077
2020-01-05 23:55:00,46,9.077
2020-01-06 00:00:00,46,9.077
2020-01-06 00:05:00,46,9.077
2020-01-06 00:10:00,46,9.077
2020-01-06 00:15:00,46,9.077
2020-01-06 00:20:00,46,9.076
2020-01-06 00:25:00,46,9.076
2020-01-06 00:30:00,46,9.076
2020-01-06 00:35:00,46,9.075
2020-01-06 00:40:00,46,9.075
2020-01-06 00:45:00,46,9.075
2020-01-06 00:50:00,46,9.074
2020-01-06 00:55:00,46,9.074
2020-01-06 01:00:00,46,9.074
2020-01-06 01:05:00,46,9.073
2020-01-06 01:10:00,46,9.073
2020-01-06 01:15:00,46,9.073
2020-01-06 01:20:00,46,9.073
2020-01-06 01:25:00,46,9.073
2020-01-06 01:30:00,46,9.072
2020-01-06 01:35:00,46,9.072
2020-01-06 01:40:00,46,9.072
2020-01-06 01:45:00,46,9.072
2020-01-06 01:50:00,46,9.071
2020-01-06 01:55:00,46,9.071
2020-01-06 02:00:00,46,9.071
2020-01-06 02:05:00,46,9.070
2020-01-06 02:10:00,46,9.070
2020-01-06 02:15:00,46,9.070
2020-01-06 02:20:00,46,9.070
2020-01-06 02:25:00,46,9.069
2020-01-06 02:30:00,46,9.069
2020-01-06 02:35:00,46,9.069
2020-01-06 02:40:00,46,9.068
2020-01-06 02:45:00,46,9.068
2020-01-06 02:50:00,46,9.067
2020-01-06 02:55:00,46,9.068
2020-01-06 03:00:00,46,9.068
2020-01-06 03:05:00,46,9.067
2020-01-06 03:10:00,46,9.067
2020-01-06 03:15:00,46,9.067
2020-01-06 03:20:00,46,9.067
2020-01-06 03:25:00,46,9.066
2020-01-06 03:30:00,46,9.066
2020-01-06 03:35:00,46,9.066
2020-01-06 03:40:00,46,9.066
2020-01-06 03:45:00,46,9.066
2020-01-06 03:50:00,46,9.066
